step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,-2.5728625772849373e-20,0.45899141256240217,1.414953852530425,3.2663708028493957e-20,0.45466663523145906,1.507811538309917,-2.80579663777987e-20,0.4320349828392493,1.6180007154902132,1.0831433813014366e-19,0.4026011037705292,1.218551925785896,9.68793933422106e-21,0.4553606206747665,1.5267493442955575,0.43859984843174304,0.09332711319845521,0.0810438243786242,0.6129707860088225,0.75,0.0,0.0,0.0,0.0,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
6,0.29281590434834914,0.0510340888272928,2.5109232930169666e-19,0.43083028270231566,1.264669227395819,9.529120656610879e-21,0.875563954660324,3.0248964365886293,-3.4463653041409345e-20,0.43217895344284607,1.5956114068729437,-2.4188084600030614e-19,0.3953034241508128,1.2847545352762575,-1.9513521522370944e-19,0.8310320997623921,2.8039956347666877,0.4209650092078411,0.09338932389947685,0.0781323985726787,0.5924867316799967,0.8570850049782577,-1.8618675919807111e-10,0.0,0.36680769626474125,0.3668076960785545,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
10,0.509054470477813,0.05592434704096534,-4.2015481161773467e-19,0.3968943624106304,1.1263593147326463,-5.891114148153659e-19,0.9039109505638051,3.1507722999215897,-2.9296752063158113e-19,0.46334800191975273,1.8129056240065937,1.6051274350468991e-19,0.36956677614019506,1.224191897411372,-1.9481757786848908e-19,1.3021767306103271,4.166669652587386,0.3673737286230977,0.1073456854415136,0.06828980101332852,0.5430092150779398,1.0691283602818782,-1.7873506840451956e-10,0.0,0.9766232572544494,0.9766232570757144,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
15,0.799545295552476,0.05852582009221189,-1.9169414387548885e-19,0.3918614128762529,1.1390011708743821,-1.3658406274475593e-19,0.7876970727440488,2.8053167852872853,1.7057125975333473e-19,0.5119747733138001,1.9849753730103281,6.524800671818282e-21,0.34660602836962445,1.2009292615780098,7.157428404298838e-20,1.5419163490280945,5.240054221734703,0.3263404730917906,0.13105908425485854,0.06006786945108245,0.5174674267977316,1.2194619236468482,-1.590012631888964e-10,0.0,0.5161453053546537,0.5161453051956525,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
19,1.0238017594025912,0.05314450105335952,7.771527291058206e-20,0.41722124151098744,1.2787078375572367,3.647270931317814e-19,0.8139441899321535,2.7503312904920576,-5.0186702124817295e-20,0.5500462492458451,2.00650684401668,-2.183756817139993e-20,0.34277673312243284,1.1750131130424075,2.7232109254225756e-19,1.3067415609981292,4.364606320873801,0.37288544170024207,0.15127543815471117,0.05874794438504376,0.582908824239997,1.102701615579794,-1.6187168909973019e-10,0.0,-0.513016339268104,-0.5130163394299757,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
24,1.2698369542760182,0.04835158013518586,-1.514071393217062e-20,0.44881884260181165,1.5042788677157943,-1.623126885176053e-19,0.8447522073601342,2.774853303889633,2.202020965065164e-19,0.5958931461353478,2.009148444574769,5.902760851178405e-20,0.34571107012882607,1.085697402940625,-6.331571280725895e-20,0.993444608954965,3.902287435627766,0.4195371721614547,0.1775443208055415,0.059758072004809044,0.6568395649718053,0.9830693285632688,-1.891867247903253e-10,0.0,-0.48475981099626836,-0.4847598111854551,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
29,1.515078525281458,0.04850671334567466,1.7575933655526732e-20,0.4575888202054629,1.5219993267593845,-7.438008068076825e-20,0.8956981274980957,3.3853244966124985,-3.290723000082957e-19,0.6358979385101582,1.917988511753143,1.5061304593365528e-19,0.3568938421059132,1.2452071442975208,-4.1186977060240354e-20,0.8155443068339833,2.7850262618561445,0.4392349720533971,0.20218309410073448,0.06368660726656024,0.7051046734206918,0.948371660117769,-2.183557790972177e-10,0.0,-0.140903675641982,-0.14090367586033778,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
34,1.7656735765558298,0.05143855170783598,-8.544444855427755e-20,0.44542824610000026,1.432196692132719,2.3822801641527197e-20,0.7549571745257302,2.8025919695622568,6.077461396549605e-20,0.6527806305356209,2.0034498456744276,-4.8069119756681544e-20,0.39156511334200694,1.5028894061474745,4.480804290975249e-19,0.866971766478058,3.9384225813669884,0.42420807426092144,0.21306127580124135,0.07666161899326938,0.7139309690554322,0.9935353998936242,-2.3226759231762425e-10,0.0,0.1798757302114914,0.1798757299792238,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
39,2.022813539094585,0.050678541429730946,-5.459392042849983e-20,0.4359876055327793,1.569858352884986,-1.9248823726353975e-19,0.7377418456082072,2.7789552905290105,3.644359255561627e-19,0.6460605181305066,2.023299920778463,2.5289227431461204e-19,0.43453962579158295,1.5461354474369915,-5.061021859844445e-19,0.9319470258029384,3.301431619772155,0.4142878730005596,0.2086970965435293,0.09441234319154446,0.7173973127356333,1.0463114758309722,-2.4277579693039677e-10,0.0,0.2047705399915912,0.2047705397488154,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
44,2.2679672039851804,0.04807619166248652,2.1392875874091423e-19,0.4358849806636,1.571072860636734,1.4346620544119712e-19,0.8858614264557815,3.462782184612144,1.1624203712085187e-19,0.6346892138962754,2.0882173061434526,2.541098841762901e-20,0.4577137345452843,1.4809203402965783,2.5199230180815435e-20,0.8346747227199909,3.1163890532043155,0.45162592598962537,0.20141519911813593,0.10475093139569547,0.7577920565034567,1.0506470989410295,-2.599495066093452e-10,0.0,0.021504088724475366,0.02150408846452586,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
