step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,3.244785069074374e-13,4.5284719895390656e-13,0.0,3.2314573379429397e-13,4.486322140352979e-13,0.0,8.058192211068828e-13,1.1255405041296899e-12,0.0,7.239707835093692e-13,1.0171057970911827e-12,1.55518264275492e-25,1.044231652694527e-25,6.493446171053031e-25,9.092860466502478e-25,2.1797928651349613e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,4.027945276454384e-12,5.595868657528131e-12,0.0,4.5764828964157235e-10,6.470035146030268e-10,0.0,5.479848286182334e-10,7.689502705168225e-10,0.0,1.0487112239070028e-09,1.4716141959197616e-09,1.0510214225347307e-24,2.0944195701185656e-19,3.002873723957546e-19,5.0973038042903365e-19,1.9546835108830223e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,9.121470158303436e-12,1.2747450452632715e-11,0.0,9.009277124637405e-10,1.2737038521268063e-09,0.0,2.279174913546205e-09,3.1657216919746828e-09,0.0,4.364702626378169e-09,6.0624486185675e-09,4.771958905796339e-24,8.116707430851483e-19,5.194638286538351e-18,6.006313801582405e-18,3.10277914235114e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.717601386537017e-11,2.4034028648573004e-11,0.0,1.3585065081597091e-09,1.9206203295707077e-09,0.0,5.8515951003882554e-09,8.164018714653442e-09,0.0,1.1207478834340378e-08,1.5636416853845976e-08,1.6539416375494566e-23,1.8455399327122853e-18,3.424116521888783e-17,3.6086721691016495e-17,2.0105196468433945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,3.000729764928705e-11,4.2003495243406844e-11,0.0,1.8017859755091814e-09,2.5473206670944873e-09,0.0,1.2071706723428603e-08,1.6870535639971323e-08,0.0,2.3121766386032475e-08,3.231328021444604e-08,5.017399748157902e-23,3.2464327015415716e-18,1.457261032164713e-16,1.4897258609201035e-16,8.510899349671809e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,5.2430675281969885e-11,7.339994722516824e-11,0.0,2.259364784227446e-09,3.1942371445383814e-09,0.0,2.3273970892002477e-08,3.255290383184543e-08,0.0,4.457909863791246e-08,6.23520102542382e-08,1.5287054183216008e-22,5.104729228207132e-18,5.416777210817786e-16,5.467826031805276e-16,3.1566967087581965e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,8.950806294768139e-11,1.253109856779746e-10,0.0,2.702644256980999e-09,3.8209374820621515e-09,0.0,4.198724562031715e-08,5.875134394806191e-08,0.0,8.042336646351378e-08,1.1253370861038696e-07,4.4524374306120025e-22,7.304285979792372e-18,1.7629287947808417e-15,1.770233526004377e-15,1.0264506335858712e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.5251267923545546e-10,2.135200530308517e-10,0.0,3.1459237307534744e-09,4.447637819585922e-09,0.0,7.389561449747497e-08,1.0342349436099837e-07,0.0,1.4154212517700637e-07,1.9810080218535477e-07,1.292378409446246e-21,9.896836119717858e-18,5.460561841959434e-15,5.470459970457561e-15,3.178114103440208e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,2.641906975777893e-10,3.6987267573591076e-10,0.0,3.603502543059678e-09,5.094554297029814e-09,0.0,1.305220653222226e-07,1.8270171522689177e-07,0.0,2.5000703608690314e-07,3.499539563447842e-07,3.877745484949689e-21,1.298523057783757e-17,1.7036009535978537e-14,1.7048998644301858e-14,9.913413689355708e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,4.4975290373077576e-10,6.29664721293029e-10,0.0,4.046782017914854e-09,5.721254634553584e-09,0.0,2.2464975240100251e-07,3.1448269116144746e-07,0.0,4.3030354146675334e-07,6.023733047522271e-07,1.1237798247595546e-20,1.6376444700519018e-17,5.0467511253831734e-14,5.04838989363305e-14,2.936536703602543e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,3.149999999999977,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,7.788424052077908e-10,1.0903984007243989e-09,0.0,4.504360830981145e-09,6.368171111997476e-09,0.0,3.916056141955008e-07,5.482249669587905e-07,0.0,7.500984856636921e-07,1.050094021142572e-06,3.369989923290621e-20,2.0289266495677154e-17,1.5335495706943537e-13,1.5337528003583028e-13,8.922930838278466e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,3.45999999999997,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.3257496055358483e-09,1.8560821701409642e-09,0.0,4.947640306359648e-09,6.994871449521247e-09,0.0,6.690791494285113e-07,9.366947594544234e-07,0.0,1.2815840697257366e-06,1.7941869465616317e-06,9.764526170116182e-20,2.4479144601114587e-17,4.476669081999799e-13,4.476914849898427e-13,2.604708877362303e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,3.7699999999999636,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,2.256678185157662e-09,3.1594053490524416e-09,0.0,5.3909197819010675e-09,7.621571787045018e-09,0.0,1.1413934657140277e-06,1.5979464965663062e-06,0.0,2.1862766561498195e-06,3.0607789673853534e-06,2.8292217363382965e-19,2.9062016094892244e-17,1.3027790435746796e-12,1.3028083885129481e-12,7.580061182261206e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,4.089999999999957,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,3.90776346690985e-09,5.470965750599471e-09,0.0,5.848498595494791e-09,8.26848826448891e-09,0.0,1.9790898233922765e-06,2.770742166686893e-06,0.0,3.790838826588571e-06,5.307205788612755e-06,8.4836766707543025e-19,3.420493582150454e-17,3.916796529054871e-12,3.91683158235836e-12,2.2789355567454904e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,4.399999999999951,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,6.6517301694954424e-09,9.312587238125153e-09,0.0,6.29177807126397e-09,8.89518860201268e-09,0.0,3.371274226086025e-06,4.719834863475725e-06,0.0,6.457492926686333e-06,9.040587674883435e-06,2.4580842745454626e-18,3.9586471298038184e-17,1.1365489907471928e-11,1.1365531952027502e-11,6.612852835307282e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,4.719999999999944,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.151841282798674e-08,1.6126063720718307e-08,0.0,6.749356885043854e-09,9.542105079456572e-09,0.0,5.840445571373728e-06,8.176736004084304e-06,0.0,1.1187057400341905e-05,1.566209527287469e-05,7.37076870944288e-18,4.555381836168888e-17,3.4110804472178983e-11,3.4110857396766056e-11,1.9846893190770026e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,5.029999999999937,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.9606442109680777e-08,2.744950539375443e-08,0.0,7.192636360958233e-09,1.0168805416980345e-08,0.0,9.944007650119269e-06,1.3921824724247573e-05,0.0,1.9047209131049825e-05,2.6666502707273566e-05,2.135625416079478e-17,5.17340178209785e-17,9.888328814563056e-11,9.888336123590255e-11,5.753384888093796e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,5.34999999999993,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,3.395132564922198e-08,4.753269826218194e-08,0.0,7.650215174860638e-09,1.0815721894424265e-08,0.0,1.7222062950271917e-05,2.4111282717241806e-05,0.0,3.298793132945098e-05,4.6183859662452845e-05,6.403847311297558e-17,5.852579222166796e-17,2.965994522631286e-10,2.9659957482739394e-10,1.7257220988712413e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,5.659999999999924,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,5.779135328011838e-08,8.090932843860898e-08,0.0,8.093494650873243e-09,1.1442422231948053e-08,0.0,2.9317598145140196e-05,4.1045332089152826e-05,0.0,5.615627631153821e-05,7.862011746099894e-05,1.855466953689718e-16,6.55046556637138e-17,8.595215609999278e-10,8.595218120512789e-10,5.001004998470402e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,5.969999999999917,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,9.837143129869663e-08,1.3772244449087824e-07,0.0,8.536774126922877e-09,1.206912256947184e-08,0.0,4.990640674629956e-05,6.987017495526339e-05,0.0,9.559302820030162e-05,0.00013383254856200912,5.376076943582352e-16,7.287651249409987e-17,2.4906494343270947e-09,2.4906500448113015e-09,1.449149252707024e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,6.28999999999991,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.7034403341710747e-07,2.38485873156239e-07,0.0,8.994352940942637e-09,1.2716039046915754e-08,0.0,8.642260400750308e-05,0.00012099375711708447,0.0,0.00016553783361415822,0.00023175701152811903,1.6120605401945926e-15,8.089838482624344e-17,7.468866483437691e-09,7.468868176396616e-09,4.345654653801671e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,6.599999999999904,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,2.899566352657371e-07,4.0594648343048767e-07,0.0,9.437632417051725e-09,1.334273938443954e-08,0.0,0.00014710954931354488,0.00020595698623767993,0.0,0.000281780402637145,0.0003944994922323408,4.670825018740096e-15,8.906890563938555e-17,2.1641219499234296e-08,2.164122425912822e-08,1.2591638451112836e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,6.919999999999897,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,5.021008851644816e-07,7.029536967598503e-07,0.0,9.895211231124257e-09,1.398965586188345e-08,0.0,0.0002547435803095677,0.0003566473001195768,0.0,0.00048794758100115276,0.0006831386571165892,1.4005849938091669e-14,9.791520530856765e-17,6.489429170893715e-08,6.48943058127023e-08,3.775782875129088e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,7.22999999999989,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,8.54667347423403e-07,1.1965554913821596e-06,0.0,1.0338490707277625e-08,1.4616356199407242e-08,0.0,0.00043362257207758484,0.0006070823267275278,0.0,0.0008305806372951548,0.0011628334369319462,4.058090415302499e-14,1.0688439010446574e-16,1.8802853501518018e-07,1.8802857570296873e-07,1.0940175236436059e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,7.539999999999884,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.4547998147742374e-06,2.036755835446477e-06,0.0,1.0781770183448736e-08,1.524305653693103e-08,0.0,0.0007381072641369067,0.0010333684501225614,0.0,0.00141380463472422,0.001979361503592694,1.1758013894832494e-13,1.1624656828870416e-16,5.448023333716693e-07,5.448024510680548e-07,3.169855574823865e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,7.859999999999877,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,2.519191443901747e-06,3.5269305246445737e-06,0.0,1.1239348997577237e-08,1.5889973014374943e-08,0.0,0.001278139632091803,0.001789427163900257,0.0,0.002448207495011117,0.0034275511723678804,3.5257364061280344e-13,1.263229658893405e-16,1.6336409191237687e-06,1.6336412718237324e-06,9.505109393353225e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
