2026-05-22T10:58:07+12:00 run start {'title': 'Inhomogeneous rmhd simulation test', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokia_inhomo_linear.input', 'output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\kz_scan\\runs\\kz_08', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [32, 32, 32], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'hostname': 'Naoki', 'python_executable': 'C:\\Users\\naoki\\AppData\\Local\\Programs\\Python\\Python313\\python.exe', 'git_commit': '55f5340485b9b2ef64df3d654ebb18505fd4615d', 'command': "'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\run.py' 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokia_inhomo_linear.input' --output-dir 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\kz_scan\\runs\\kz_08' --mode-kx 3 --mode-ky 2 --mode-kz 8"}
2026-05-22T10:58:07+12:00 run setup {'resolved_output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\kz_scan\\runs\\kz_08', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokia_inhomo_linear.input', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd', 'equation_mode': 'linear', 'grid': [32, 32, 32], 'output_cadences': {'scalar': 0.3141592653589793, 'spectra': 0.0, 'full_field': 0.0}, 'dissipation_mode': 'manual', 'initial_condition': {'type': 'single_fourier_mode', 'parameters': {'k_indices': [3, 2, 8], 'amplitude': 1e-12, 'seed': 0}}}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 95, 'time': 9.499999999999982, 'dt': 0.1, 'total_energy': 1.779737330557406e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 98, 'time': 9.799999999999981, 'dt': 0.1, 'total_energy': 2.030380117662383e-24}
2026-05-22T10:58:08+12:00 progress {'step': 100, 'time': 9.99999999999998, 'dt': 0.1}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 101, 'time': 10.09999999999998, 'dt': 0.1, 'total_energy': 2.8249784287535288e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 104, 'time': 10.399999999999979, 'dt': 0.1, 'total_energy': 1.3533012787877465e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 107, 'time': 10.699999999999978, 'dt': 0.1, 'total_energy': 1.5515174980216475e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 110, 'time': 10.999999999999977, 'dt': 0.1, 'total_energy': 1.2182650948070732e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 114, 'time': 11.399999999999975, 'dt': 0.1, 'total_energy': 2.75921778814561e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 117, 'time': 11.699999999999974, 'dt': 0.1, 'total_energy': 1.2380403805498446e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 120, 'time': 11.999999999999973, 'dt': 0.1, 'total_energy': 1.9327662663886062e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 123, 'time': 12.299999999999972, 'dt': 0.1, 'total_energy': 1.1147533328937422e-24}
2026-05-22T10:58:08+12:00 scalar diagnostics {'step': 126, 'time': 12.599999999999971, 'dt': 0.1, 'total_energy': 2.479350366783904e-24}
