step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622367e-13,0.0,4.588819051670699e-13,6.485821064265104e-13,0.0,4.569970793548962e-13,6.462842549394146e-13,0.0,1.1396004713102773e-12,1.610406403340999e-12,0.0,1.0238493008008255e-12,1.4431338488713732e-12,1.161932423195639e-25,1.0442316526945268e-25,6.493446171053029e-25,8.699610246943194e-25,2.0091621073352015e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.1,0.0,1.749772414510824e-13,2.473908207781322e-13,0.0,1.1753060733350368e-12,1.6606995427711906e-12,0.0,1.5823323275414814e-12,2.237582673829262e-12,0.0,7.425227631175851e-13,1.047751848569571e-12,0.0,2.39766676238343e-12,3.390812429190775e-12,2.5213935713013684e-25,1.2518877973914207e-24,2.7567002687388664e-25,1.779697181395444e-24,2.263328807489982e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,0.1,0.0,2.909685579961469e-13,4.1036117685640065e-13,0.0,1.7124379755209545e-12,2.421281561091438e-12,0.0,7.655605703896567e-13,1.0801845110199852e-12,0.0,1.6187786656020167e-12,2.2884180262865204e-12,0.0,3.770572199283635e-12,5.320375303586091e-12,6.630938620947945e-25,2.930414934676682e-25,1.3102221841041228e-24,2.2663575396665854e-24,4.5649929503755725e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9999999999999999,0.1,0.0,4.788637290277186e-14,6.769495090498487e-14,0.0,3.107646554703793e-12,4.393240537807949e-12,0.0,1.708342221346678e-12,2.4141308892137927e-12,0.0,1.4838769045259142e-13,2.0977848462421648e-13,0.0,9.824730520456812e-13,1.3870361375506251e-12,3.8634622326598995e-25,1.4592165726178506e-24,1.1009453338927046e-26,1.8565722492227678e-24,1.875887079641938e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.3,0.1,0.0,2.7626745115122825e-13,3.8938997013300933e-13,0.0,8.535164554713748e-13,1.2028972320113376e-12,0.0,8.22074348420638e-14,1.1623900070124345e-13,0.0,1.5318870405942352e-12,2.165860694712544e-12,0.0,1.9027211044076178e-12,2.690482561006542e-12,5.241229388979303e-25,3.379031171656083e-27,1.173338952570282e-24,1.7008409226398685e-24,3.759330313114047e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.6000000000000003,0.1,0.0,1.5903886827462578e-13,2.248158483455053e-13,0.0,2.055851741942613e-12,2.8939492282131534e-12,0.0,1.7608152359138087e-12,2.490160239853839e-12,0.0,2.178983817711945e-13,3.074988002353116e-13,0.0,1.1688829016378578e-12,1.6527061123531463e-12,3.2696555765303632e-25,1.5502351475131002e-24,2.3739852389252618e-26,1.9009405575553895e-24,1.9425894213961834e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.9000000000000006,0.1,0.0,1.9625273425735422e-13,2.7753750844567467e-13,0.0,1.8482801080337348e-12,2.6106965228658754e-12,0.0,5.763518319274553e-13,8.147311594387605e-13,0.0,1.4679981544385974e-12,2.075292474370025e-12,0.0,3.557990657059304e-12,5.0303422004169126e-12,3.817383573708697e-25,1.660907170830668e-25,1.077509290717564e-24,1.6253383651715005e-24,3.5157055418689806e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.2000000000000006,0.1,0.0,1.482275803230058e-13,2.0957911710940908e-13,0.0,1.105562584934455e-12,1.5626760311583363e-12,0.0,1.6644502639297968e-12,2.3446940155823973e-12,0.0,7.263463732951469e-13,1.0270837823197938e-12,0.0,2.364889179027623e-12,3.342274982394979e-12,1.898245330872605e-25,1.385197340547985e-24,2.6378952699950646e-25,1.8388114006347518e-24,2.301600044493535e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.600000000000001,0.1,0.0,8.067641538465797e-14,1.140936568077102e-13,0.0,1.426198042177704e-12,2.010104669455322e-12,0.0,2.595417219859945e-13,3.6692239927484007e-13,0.0,1.19129976193996e-12,1.6839650131333523e-12,0.0,1.1933239339155593e-12,1.6857873620067866e-12,1.2053878659216296e-25,3.368095272572761e-26,7.095975613991026e-25,8.638173007169931e-25,2.108725303171559e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.9000000000000012,0.1,0.0,1.6741241127762519e-13,2.36636212319356e-13,0.0,1.2817966085236e-12,1.809570873734719e-12,0.0,1.6702577049738866e-12,2.359076175655823e-12,0.0,5.137038518059951e-13,7.26205414085254e-13,0.0,8.983543436098661e-13,1.2701053565169233e-12,2.45367356024496e-25,1.3948804005123174e-24,1.3194582368015787e-25,1.7721935802169712e-24,2.0036774814102308e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
