step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,upar_mean,upar_rms,upar_max_abs,dbpar_mean,dbpar_rms,dbpar_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,upar_energy,dbpar_energy,entropy_variance,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.000000000000001e-12,0.0,4.242640687119285,0.0,0.0
34,0.5100000000000003,0.015,-1.0408340855860843e-17,0.6381791288562526,2.341317935044679,6.938893903907228e-18,1.00539822705162,3.4766721730880126,1.0842021724855044e-19,0.022037430625199996,0.07059734443314628,-2.168404344971009e-19,0.02403920142965373,0.06468481125324092,4.336808689942018e-19,0.014915338519793602,0.04665944672926459,0.8539238573971568,0.0002428241742802513,0.00028894160268773286,0.00011123366158001939,0.8545668568357049,0.854804630954066,-6.646500227066205e-10,1.6760898382889022,1.6760898376242521,1.0,8.000000000000008e-12,0.0,4.242640687119285,0.4666850559521165,0.10889747072451507
67,1.0050000000000008,0.015,0.0,0.8596365599746669,2.652158047433134,-1.3877787807814457e-17,2.396573365345341,9.66967337452879,6.505213034913027e-19,0.034179210574926885,0.13411996107295748,-2.168404344971009e-19,0.029401567653625373,0.11415022238334449,0.0,0.021666239336164368,0.08181052536658354,1.7519932024987934,0.000584109217762597,0.0004322260902453549,0.0002347129634859781,1.7532442507702872,1.7535685088973287,-7.279868376379739e-08,1.815714037671394,1.8157139648727103,1.0,6.400000000000006e-11,0.0,4.242640687119285,0.8869236094654988,0.3933167445136543
101,1.5149999999999975,0.015,1.3877787807814457e-17,1.1528704155789335,3.560670148409805,-1.9081958235744878e-17,4.335034849931083,18.93973656371705,0.0,0.04370350634133128,0.16387144641701368,1.0842021724855044e-19,0.032112794775622795,0.1330341622489267,0.0,0.024753804725793343,0.07799833865374807,3.3407066097294527,0.0009549982332633915,0.0005156157941506334,0.0003063754242013544,3.342483599181068,3.342858282280086,-5.181942899548385e-06,3.1164420948089098,3.11643691286601,1.0,1.024000000000001e-09,0.0,4.242640687119285,1.6040462200883754,1.2864821380899023
134,2.0099999999999945,0.015,0.0,1.2840100360621824,3.8287411542494105,0.0,6.263820879112294,23.681678167167153,-2.168404344971009e-19,0.051247204052055656,0.17497668028176555,0.0,0.03711691240343525,0.13930195055210687,0.0,0.028952248898758078,0.10224170011886329,4.0746300629662775,0.0013131379615765148,0.000688832593182143,0.0004191163581478192,4.077051149879185,4.0775471889476185,-0.00015150611138999235,1.4849399780987123,1.4847884719873223,1.0,8.192000000000008e-09,0.0,4.242640687119285,1.999286414683551,1.998573083969104
167,2.5049999999999986,0.015,0.0,1.3072619284621583,4.531743087938786,3.469446951953614e-17,7.425407894641747,27.84664597486126,-8.673617379884035e-19,0.05836474035224879,0.2137027202394467,8.673617379884035e-19,0.040778787348064026,0.16323148263758688,-4.336808689942018e-19,0.031457108367526666,0.1146171584358946,4.9725822232300185,0.001703221458192709,0.0008314547487893132,0.0004947748334231582,4.975611674270424,4.976215532595839,-0.0026254309562996005,1.8196406487620869,1.8170152178057872,1.0,6.553600000000006e-08,0.0,4.242640687119285,2.221577897535459,2.467704177409036
200,3.0000000000000027,0.015,5.551115123125783e-17,1.5012397105110409,5.084306932950877,1.3877787807814457e-17,8.420401626820457,33.19870800744612,-1.734723475976807e-18,0.06448392180823234,0.22597853801208595,0.0,0.04411435234487275,0.1562133720622344,4.336808689942018e-19,0.03377497139427621,0.11681035210298607,6.097191852131692,0.0020790880858851117,0.0009730380414037898,0.000570374346342088,6.100814352605323,6.1015250184474095,-0.0318422536307802,2.308247505946365,2.276405252315585,1.0,1.048576000000001e-06,0.0,4.242640687119285,2.565317994212937,3.290428205716344
234,3.510000000000007,0.015,-5.551115123125783e-17,1.6541677057774955,5.514049480375995,-1.5265566588595902e-16,8.960494604622658,35.22957710832078,0.0,0.067240393945171,0.23747284283760656,-1.0842021724855044e-19,0.04761915619891372,0.17885503839159414,4.336808689942018e-19,0.036120675228422806,0.13398652591615962,7.26721691150175,0.002260635288950895,0.0011337920185482716,0.0006523515894785985,7.271263690398728,7.272097400686116,-0.413429411402628,2.714595474362465,2.3011660629598367,1.0,8.388608000000008e-06,0.0,4.242640687119285,2.7317815254261473,3.7313151513298046
267,4.0050000000000106,0.015,-5.551115123125783e-17,1.6628537152829124,5.698297282701802,-1.249000902703301e-16,7.645453493428882,27.823279974604258,0.0,0.06263665798134567,0.24964575386841625,0.0,0.04674053839428052,0.1880238523508277,2.168404344971009e-19,0.03363491912458269,0.14253672309652463,6.479652489814254,0.0019616754615360372,0.0010923389646936058,0.0005656538922586092,6.483272158132742,6.484104296306997,-3.0779502224349145,1.4921214641811937,-1.5858287582537207,1.0,6.710886400000007e-05,0.0,4.242640687119285,2.7387227303751547,3.7503010969367705
300,4.5,0.015,0.0,1.6722299805924725,6.587223801627731,-8.326672684688674e-17,4.611771877319924,15.931485494416572,-2.168404344971009e-19,0.050656784121405465,0.20247300068378377,-2.168404344971009e-19,0.03769244951014977,0.14760022015329952,-2.168404344971009e-19,0.02955853347256574,0.09614716703723739,4.877824941958238,0.0012830548887613384,0.0007103603750375949,0.00043685345052439466,4.880255210672561,4.880764618460358,-5.513515427481666,2.2735712289069743,-3.2399441985746917,1.0,0.0004183161162855827,0.0,4.242640687119285,1.7641786663293633,1.5561631833658254
334,5.009999999999989,0.015,1.1102230246251565e-16,1.8241023193439188,6.797292874574337,-4.163336342344337e-17,3.8121536908371954,12.700874662223042,4.336808689942018e-19,0.049367302097934135,0.18069720364496938,0.0,0.038595696676259166,0.12976031768012955,3.2526065174565133e-19,0.024884750689000697,0.0859986014173969,4.5235799989375876,0.0012185652582143462,0.0007448139009629015,0.00030962540842686026,4.525853003505191,4.526455389718279,-3.3442892130703727,2.6499301196615948,-0.694359093408778,1.0,0.0006598853162459177,0.0,4.242640687119285,1.3942392455740102,0.9719515369493927
367,5.504999999999979,0.015,0.0,1.8335372762446527,6.326737944542092,-2.0816681711721685e-17,3.290684280926641,11.331288549317684,-8.673617379884035e-19,0.047406832008421676,0.17260268812823287,-4.336808689942018e-19,0.03810256001807831,0.14324206814147955,2.168404344971009e-19,0.02488110235183221,0.09250124463185223,3.9350605620315084,0.0011237038605373569,0.0007259025399656301,0.0003095346271211753,3.9372197030591325,3.9378032196706227,-2.452398289929732,1.2645239998467699,-1.187874290082962,1.0,0.0007779091391536445,0.0,4.242640687119285,1.2175666520462978,0.7412342760876152
401,6.014999999999968,0.015,-1.1102230246251565e-16,1.8944487464099187,6.327095126489599,2.7755575615628914e-17,3.4042634226759665,15.026605228111684,0.0,0.05042167727460652,0.1915736787212636,-1.734723475976807e-18,0.038405088505305045,0.13518990748413096,2.168404344971009e-19,0.026088638682272375,0.07956875995999187,3.873549057863113,0.0012711727695922858,0.0007374754115501569,0.0003403085341470792,3.8758980145784028,3.8764789480642454,-1.701894832677438,1.582571592343139,-0.11932324033429897,1.0,0.0007740308988218779,0.0,4.242640687119285,1.0114214329812667,0.5114866575469396
434,6.509999999999957,0.015,-5.551115123125783e-17,1.855879435393651,6.245299093494941,1.3877787807814457e-17,3.2987745482065525,12.481939109851508,2.168404344971009e-19,0.05406289816354395,0.19961740581599374,0.0,0.03906197126665897,0.11663874527022661,6.505213034913027e-19,0.026118255866355813,0.09045034617371442,4.31788945983523,0.0014613984789208618,0.0007629187996186454,0.00034108164475021494,4.32045485875852,4.321060880001554,-1.5349792689617434,2.433832717880688,0.8988534489189446,1.0,0.0007610487852866758,0.0,4.242640687119285,1.0659318746000623,0.5681053806442016
467,7.004999999999947,0.015,0.0,2.002274370449625,6.40283294518126,5.551115123125783e-17,3.4097474527516574,12.687835967814426,4.336808689942018e-19,0.055229427782642865,0.19351353198091026,1.0842021724855044e-19,0.04118035802147155,0.14147008294668473,2.168404344971009e-19,0.027709026827694213,0.11709625574082473,4.681601512878164,0.0015251448465990816,0.0008479109433882877,0.00038389508386893885,4.6843584637520195,4.685029782956828,-2.026878511442781,2.7634422104566103,0.7365636990138293,1.0,0.0008076508468677766,0.0,4.242640687119285,1.2246311347570158,0.7498607081081281
501,7.514999999999936,0.015,0.0,2.0682001832424652,7.393889350108264,0.0,3.3177454862452604,14.119528477662968,4.336808689942018e-19,0.05562379818334771,0.17671196633490413,2.168404344971009e-19,0.0431390373140598,0.16876298654160693,8.673617379884035e-19,0.02917523121592949,0.10975716240789096,4.981434027202811,0.001547003462170898,0.0009304882701919215,0.0004255970582514733,4.984337115993425,4.985071829616822,-2.4196796275111683,3.0095271812079853,0.5898475536968171,1.0,0.000879222940834738,0.0,4.242640687119285,1.3172885416398128,0.8676245509677725
534,8.009999999999925,0.015,0.0,1.9095964094312088,5.919129255797169,0.0,3.5673894020694434,14.350977403599071,0.0,0.05801608072422857,0.17659854268711705,-4.336808689942018e-19,0.042250271986391315,0.1344311251816354,4.336808689942018e-19,0.02771221890274331,0.10606302926016307,4.523532753211813,0.0016829328113001025,0.0008925427414620212,0.0003839835382567819,4.5264922123028315,4.527208122616697,-2.5365007908731734,1.6131445262459203,-0.9233562646272531,1.0,0.0008850301192572253,0.0,4.242640687119285,1.1999949614222911,0.7199939537194429
567,8.504999999999944,0.015,5.551115123125783e-17,1.8622415474146554,6.233425132707685,-6.938893903907228e-18,3.4338505610657877,13.710229342018692,0.0,0.05770757256765526,0.20374074356638652,-8.673617379884035e-19,0.04112232016920498,0.1486210139154639,5.421010862427522e-19,0.026864783186213076,0.09562075978944602,4.535588252673645,0.0016650819658255989,0.0008455226080493011,0.0003608582878211183,4.538459715535341,4.539139243330993,-2.3501424896835466,2.375509322787297,0.02536683310375043,1.0,0.0008798378916547361,0.0,4.242640687119285,1.1783851083350967,0.6942957317729587
601,9.014999999999963,0.015,0.0,2.0312053435116817,5.614495025897699,-2.0816681711721685e-17,3.2583142312829474,12.678787357726488,-4.336808689942018e-19,0.05199609527902432,0.18349773482973522,-8.673617379884035e-19,0.04053929687362332,0.1440456981224402,4.336808689942018e-19,0.028594357286501813,0.09958953308192628,4.290637462789287,0.0013517969621326875,0.0008217172955038828,0.0004088186343140597,4.293219795681238,4.293853456404957,-2.464698739584586,1.9851716312332306,-0.47952710835135526,1.0,0.0008795535832759165,0.0,4.242640687119285,1.19124411448721,0.7095312701502086
634,9.509999999999982,0.015,-5.551115123125783e-17,2.026105881363248,7.20109921371979,1.3877787807814457e-17,3.36875537776728,12.510000982654224,-8.673617379884035e-19,0.052770103007665735,0.21261995830788194,-1.0299920638612292e-18,0.03955986498481042,0.14577700988069367,0.0,0.02985144481114326,0.09651401380222055,4.111018558579135,0.0013923418857198259,0.0007824914588082147,0.000445554378656366,4.113638946302319,4.1142164827469445,-2.126336557909305,1.764669004933579,-0.3616675529757263,1.0,0.0008561611344283423,0.0,4.242640687119285,1.10987053442036,0.6159063015872679
667,10.005,0.015,-5.551115123125783e-17,2.1245804838889484,7.105673212936407,3.469446951953614e-18,3.3379878455780077,13.221641807039244,0.0,0.05099618883734069,0.18688373416216322,-8.673617379884035e-19,0.04220799058543949,0.14698755709448497,0.0,0.030790351304126717,0.11272334984990955,4.615301898579573,0.0013003056379668556,0.0008907572346302745,0.0004740228667157689,4.617966984318887,4.6186396910348275,-1.840145291342,2.860300843376583,1.0201555520345829,1.0,0.0008232380955765894,0.0,4.242640687119285,1.1309399999677348,0.63951264176351
700,10.50000000000002,0.015,0.0,2.1156391981209106,6.309593529439516,0.0,3.4946613098678982,13.46322845782622,-4.336808689942018e-19,0.055924282909749906,0.19903932763634657,-9.75781955236954e-19,0.03892204500023776,0.14597121994608783,6.505213034913027e-19,0.031296872422746196,0.12606619728211035,4.661741975556497,0.0015637627094848726,0.0007574627935002663,0.0004897471117228256,4.664552948171205,4.665085127293311,-2.132034528444753,2.227350973856222,0.095316445411469,1.0,0.0008264159036163232,0.0,4.242640687119285,1.1467795468043753,0.6575516644844243
734,11.010000000000039,0.015,0.0,2.2142153536460962,6.839090266713729,4.163336342344337e-17,3.2293448577599,11.387881060303489,-4.336808689942018e-19,0.05959068652017116,0.17889699192839387,-1.3010426069826053e-18,0.03433450487485407,0.12361740065010285,4.336808689942018e-19,0.03170831098400471,0.1152610152044589,4.742203765537164,0.0017755249599726549,0.0005894291125006889,0.0005027084927291768,4.745071428102367,4.745429611308213,-1.989162597360559,2.1479991963678353,0.15883659900727642,1.0,0.0008214511670032371,0.0,4.242640687119285,1.1224157667289358,0.6299085767008524
767,11.505000000000058,0.015,5.551115123125783e-17,2.303328325600619,6.818478190655544,4.163336342344337e-17,3.25022916080634,11.578043920570202,2.168404344971009e-19,0.055886721459352126,0.21246659190922013,0.0,0.03408266851870066,0.11715379438078953,5.421010862427522e-19,0.03137852842024186,0.11719711018924354,4.525415943158572,0.0015616628177376043,0.0005808141466778147,0.000492306022909963,4.528050726145897,4.528405079522037,-2.040637345293015,1.6034419029956,-0.4371954422974149,1.0,0.0008190422755446619,0.0,4.242640687119285,1.1069621777262428,0.612682631458213
