step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
32,3.2000000000000015,0.1,0.0,5.3342069037242644e-14,7.516202165958136e-14,0.0,3.142684575598397e-13,4.4236045731210834e-13,0.0,6.462901838011643e-13,9.116081274626285e-13,0.0,9.580401392944996e-13,1.3506970851750736e-12,0.0,8.095800052263323e-13,1.144834270376205e-12,2.2293587040286147e-26,2.0884550083887145e-25,4.589204542497121e-25,6.900595421288696e-25,1.7470079364097334e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3.5000000000000018,0.1,0.0,1.0530635219067651e-13,1.4854338942716054e-13,0.0,7.100426216428227e-13,1.00066885159329e-12,0.0,1.3191377243906632e-12,1.8644635006087394e-12,0.0,6.995436893322484e-13,9.852598906582165e-13,0.0,2.2942953037681665e-12,3.2297466954963717e-12,9.147207018184085e-26,8.700621679552887e-25,2.446806866422867e-25,1.2062149247794162e-24,4.9509027738351603e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3.800000000000002,0.1,0.0,1.53968343342205e-13,2.1764141621398183e-13,0.0,5.835512736848169e-13,8.220131504299083e-13,0.0,1.1746791689046205e-12,1.6582449326231055e-12,0.0,9.0135944298529e-13,1.2744363470586468e-12,0.0,2.603946971499142e-12,3.680080132390102e-12,1.6718801792422923e-25,6.899355749292249e-25,4.062244227293761e-25,1.2633480155828302e-24,5.619105914756837e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4.100000000000001,0.1,0.0,1.1002118404973172e-13,1.550133280667105e-13,0.0,7.105175439364721e-13,1.0018320969090657e-12,0.0,7.952116607519932e-13,1.1209288620610172e-12,0.0,9.486453435047948e-13,1.3395388716038873e-12,0.0,1.0044970813965305e-12,1.4140036359333013e-12,9.80970338096789e-26,3.1618079269797157e-25,4.4996399387666525e-25,8.642418203843157e-25,2.1676231449110778e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4.4,0.1,0.0,3.537739420761269e-14,4.9923380459090435e-14,0.0,1.1312006761568503e-12,1.5990639860892442e-12,0.0,1.4568636415673497e-12,2.0602974779312928e-12,0.0,2.5350919652377983e-13,3.579713768422727e-13,0.0,7.158327997028636e-13,1.0076727556633588e-12,5.735110051051291e-26,1.0612258350604397e-24,3.213345636106622e-26,1.150710391932019e-24,1.5447090650006216e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4.799999999999999,0.1,0.0,1.3082132035722137e-13,1.850023313866853e-13,0.0,3.360048578536315e-13,4.736030298738092e-13,0.0,7.114962421186143e-13,1.001836725349399e-12,0.0,1.0203649130312809e-12,1.4399617762486647e-12,0.0,2.8463933520460432e-12,4.012390972024608e-12,1.1558469549393764e-25,2.5311345127445494e-25,5.205722778726667e-25,8.892704246410593e-25,6.142285462103854e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,5.099999999999998,0.1,0.0,1.3880798369242231e-14,1.9548030337533327e-14,0.0,6.308018594241823e-13,8.920808608101305e-13,0.0,1.1522254712217866e-12,1.6279447276216487e-12,0.0,5.839535613538257e-13,8.245768340289771e-13,0.0,6.223215912765747e-13,8.789531929278072e-13,1.6556666348543193e-26,6.638117682661341e-25,1.7050088090890819e-25,8.508693155235856e-25,1.342919479228093e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,5.399999999999997,0.1,0.0,7.236623545652755e-14,1.0199493911470091e-13,0.0,5.905977374413465e-13,8.337428307252165e-13,0.0,1.1673041673721922e-12,1.6489069442320637e-12,0.0,6.156748976517501e-13,8.683657787145908e-13,0.0,6.310245262093413e-13,8.89702517407011e-13,4.74552715862353e-26,6.812995095822433e-25,1.8952778979924648e-25,9.18282570967725e-25,1.3616997148543005e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,5.699999999999996,0.1,0.0,1.5481407123124606e-13,2.184874890044893e-13,0.0,4.985602554775111e-13,7.049638378535351e-13,0.0,6.388062424985088e-13,9.014402620933427e-13,0.0,1.0511757288715788e-12,1.4862420803157412e-12,0.0,2.8444817598098736e-12,4.022462600771888e-12,1.6534816778436438e-25,2.0403670772753178e-25,5.524852064843472e-25,9.218700819962434e-25,6.138160410436886e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,5.999999999999995,0.1,0.0,7.241978173930367e-14,1.0229289219692457e-13,0.0,9.516318988790008e-13,1.341525982058136e-12,0.0,1.3903072774675474e-12,1.9661772891945547e-12,0.0,3.2964038753755116e-13,4.660828333489879e-13,0.0,1.6981372751900848e-12,2.3929125099031573e-12,6.892095615367342e-26,9.664771628896118e-25,5.433139254795343e-26,1.0897295115912387e-24,3.6644422042974853e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
