step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622372e-13,0.0,4.5888190516707e-13,6.404226504432821e-13,0.0,4.569970793548962e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.5917546459404579e-12,0.0,1.0238493008008257e-12,1.4384048126146479e-12,1.5551826427549205e-25,1.0442316526945268e-25,6.493446171053029e-25,9.092860466502476e-25,2.179792865134961e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,6.78630205248103e-13,9.582796628132458e-13,0.0,1.2535064048716093e-10,1.7721411078434058e-10,0.0,6.424326421918305e-10,9.082332645030432e-10,0.0,8.669298443622115e-09,1.2227430590970812e-08,0.0,5.622896550329357e-11,7.951792022514433e-11,4.406110470032053e-22,2.063598498767883e-19,3.757836775229441e-17,3.77851682132182e-17,8.098027521356152e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,8.676779875088766e-12,1.2270817499836225e-11,0.0,9.913875965118303e-10,1.4019409762897116e-09,0.0,1.2473152143031507e-09,1.7634105880603493e-09,0.0,1.3412943557647002e-07,1.896875789687008e-07,0.0,2.3282648509540618e-10,3.2920605664607515e-10,2.797894987315959e-20,7.778976219160574e-19,8.995352744031207e-15,8.996158620602996e-15,1.9335671637368624e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,4.581211463636668e-11,6.478247696012396e-11,0.0,3.560104222451518e-09,5.033885831248118e-09,0.0,1.886343323610103e-09,2.666892912565996e-09,0.0,7.162713895174039e-07,1.0128729423939512e-06,0.0,5.918436561077971e-10,8.368037389108471e-10,3.7095380625813183e-19,1.7791455672642055e-18,2.565223517205962e-13,2.5652450181996973e-13,5.513779547991921e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,1.4781207043791342e-10,2.0900456458161437e-10,0.0,8.879977739307764e-09,1.2555496130606814e-08,0.0,2.653293921906296e-09,3.7512742948618664e-09,0.0,2.3149327714807713e-06,3.273288517771475e-06,0.0,1.2165495075540497e-09,1.7200500365043064e-09,2.3870246915765453e-18,3.5199843180124466e-18,2.679456868237822e-12,2.6794627752468318e-12,5.759298995976312e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,3.889927048181759e-10,5.500091427300355e-10,0.0,1.932865751585743e-08,2.7328480165158374e-08,0.0,3.919520587984491e-09,5.541597321100775e-09,0.0,6.094708599733536e-06,8.617502263562429e-06,0.0,2.3644470422197955e-09,3.3430226109624207e-09,1.1739532401985615e-17,7.681320819817145e-18,1.857273645783296e-11,1.857275587868618e-11,3.992073161402897e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,8.648598608582788e-10,1.2228274246590885e-09,0.0,3.769117913726475e-08,5.3290552760950736e-08,0.0,6.201336690477598e-09,8.767849823698186e-09,0.0,1.3552249402135017e-05,1.9161557937865747e-05,0.0,4.3588215180319944e-09,6.162806687803633e-09,4.619364834246371e-17,1.922828837433182e-17,9.183173192883447e-11,9.183179735077119e-11,1.9738552171116297e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,1.7683105044089943e-09,2.500190281097975e-09,0.0,7.03388953423973e-08,9.945001786974941e-08,0.0,1.0578096537173698e-08,1.495608810429561e-08,0.0,2.7710478360928696e-05,3.917947027821131e-05,0.0,7.942574307050138e-09,1.1229769155241012e-08,1.6557452608193764e-16,5.594806317488308e-17,3.839353054957489e-10,3.839355270183381e-10,8.252405074062698e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,3.5046898244812603e-09,4.955203197626511e-09,0.0,1.310355280692059e-07,1.852670328353486e-07,0.0,1.9269010399968553e-08,2.7243977284299133e-08,0.0,5.492165823086116e-05,7.765251433387495e-05,0.0,1.4705641822529385e-08,2.0791874546372764e-08,5.87498701791726e-16,1.8564738089704812e-16,1.5081942714137593e-09,1.508195044559842e-09,3.2417517864967112e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,6.588455604562599e-09,9.315243745264959e-09,0.0,2.3744185942271963e-07,3.3571170518772105e-07,0.0,3.513824975828052e-08,4.968106908283611e-08,0.0,0.00010324801101124786,0.00014597964185920746,0.0,2.6699640468290386e-08,3.774984216297782e-08,1.956742964338479e-15,6.173482980376505e-16,5.33007588888938e-09,5.330078462980642e-09,1.1456602829633721e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
