step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
315,3.149999999999977,0.01,0.0,3.1473198143742415e-08,4.449733039173153e-08,0.0,5.663228872554707e-07,8.006766767957344e-07,0.0,1.2462404264057903e-07,1.7619543598068486e-07,0.0,0.0002466492261189038,0.00034871677341857484,0.0,1.05605636237167e-07,1.4930696585991116e-07,1.7823993496706673e-14,7.76557600204043e-15,3.041792037252705e-08,3.041794596209655e-08,6.538107840334538e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,3.45999999999997,0.01,0.0,5.8489205943481615e-08,8.269300447801771e-08,0.0,1.0520210906352147e-06,1.4873645071970383e-06,0.0,2.3045425469145367e-07,3.258199422399933e-07,0.0,0.0004583690208796223,0.0006480496851397039,0.0,1.9604933535323837e-07,2.771777261595742e-07,6.153189532768287e-14,2.6554581752696684e-14,1.0505107965107176e-07,1.0505116773754883e-07,2.257995543702448e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,3.7699999999999636,0.01,0.0,1.0864183965926963e-07,1.5359960864851667e-07,0.0,1.9519109407116082e-06,2.7596431585585605e-06,0.0,4.267478406390429e-07,6.033430401019569e-07,0.0,0.0008514062754248055,0.001203732108330125,0.0,3.6361828887907007e-07,5.140894274077475e-07,2.1205956393400052e-13,9.105685974504295e-14,3.6244632291636987e-07,3.624466260327935e-07,7.790516610113141e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,4.089999999999957,0.01,0.0,2.0570721678713262e-07,2.908322033748497e-07,0.0,3.6912329969149427e-06,5.218724735809476e-06,0.0,8.069264042508843e-07,1.1408456758643848e-06,0.0,0.0016120901931346882,0.00227919929225818,0.0,6.877606420530987e-07,9.72367142941178e-07,7.593169379423772e-13,3.2556511093863076e-13,1.2994173954005184e-06,1.2994184802825673e-06,2.793001929893962e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,4.399999999999951,0.01,0.0,3.815527785679041e-07,5.394454978523659e-07,0.0,6.840958949459054e-06,9.671858332241152e-06,0.0,1.4961960815760627e-06,2.1153462932908186e-06,0.0,0.002990160359144194,0.0042275371435449545,0.0,1.2750961497508346e-06,1.8027516026487674e-06,2.6102071318344344e-12,1.1193013572617823e-12,4.470529486698668e-06,4.470533216207157e-06,9.609073669025779e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,4.719999999999944,0.01,0.0,7.216799211423203e-07,1.0203227550206312e-06,0.0,1.2933833660416127e-05,1.8286063421186194e-05,0.0,2.8298822545187175e-06,4.000933353874949e-06,0.0,0.00565567613163408,0.00799608646870957,0.0,2.4114735854187184e-06,3.4093804248246976e-06,9.334176431534127e-12,4.004116787219969e-12,1.599333625296771e-05,1.599334959126093e-05,3.437649761721705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,5.029999999999937,0.01,0.0,1.3378777508972246e-06,1.8915132261414648e-06,0.0,2.3974084676905388e-05,3.3894949239677676e-05,0.0,5.2461714526372915e-06,7.417122097953365e-06,0.0,0.01048470893421399,0.014823451251874085,0.0,4.470532315902956e-06,6.320510992581388e-06,3.207471677865205e-11,1.3761157455233233e-11,5.4964560717593346e-05,5.496460655346758e-05,0.0001181422725435309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,5.34999999999993,0.01,0.0,2.5299801773008342e-06,3.5769269453619713e-06,0.0,4.533489453416406e-05,6.409520814309627e-05,0.0,9.920398783711641e-06,1.402562035823852e-05,0.0,0.019827003738883266,0.028031738966091756,0.0,8.454124189059614e-06,1.19525776711591e-05,1.1469754901181028e-10,4.9207156013933686e-11,0.00019655503863084552,0.00019655520253555054,0.00042248057003125097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,5.659999999999924,0.01,0.0,4.689957153816197e-06,6.6307373739487e-06,0.0,8.403960439079867e-05,0.00011881655352136084,0.0,1.8389111296713805e-05,2.5998823244141566e-05,0.0,0.03675435919752564,0.05196390823917731,0.0,1.5671851389088302e-05,2.215711723844451e-05,3.9414614700173936e-10,1.6907970714146357e-10,0.0006754414600103688,0.000675442023236223,0.0014518116403044775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,5.969999999999917,0.01,0.0,8.694004898288828e-06,1.2291724906564092e-05,0.0,0.00015578743078546438,0.0002202547919530305,0.0,3.408755112020242e-05,4.819353168286518e-05,0.0,0.06813336904757468,0.09632806043794101,0.0,2.9051350134714906e-05,4.1073269186655305e-05,1.3544304791747824e-09,5.809805706862064e-10,0.0023210779888865026,0.0023210799242975523,0.004988986080640327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
