time,step,quantity,kperp,value
0.0,0,u_perp,0.5,0.0
0.0,0,u_perp,1.5,0.03246157426241007
0.0,0,u_perp,2.5,0.010515373182764508
0.0,0,u_perp,3.5,0.0
0.0,0,u_perp,4.5,0.0
0.0,0,u_perp,5.5,0.0
0.0,0,u_perp,6.5,0.0
0.0,0,u_perp,7.5,0.0
0.0,0,u_perp,8.5,0.0
0.0,0,u_perp,9.5,0.0
0.0,0,u_perp,10.5,0.0
0.0,0,u_perp,11.5,0.0
0.0,0,b_perp,0.5,0.0
0.0,0,b_perp,1.5,0.044396231859338345
0.0,0,b_perp,2.5,0.3234017335463865
0.0,0,b_perp,3.5,0.0
0.0,0,b_perp,4.5,0.0
0.0,0,b_perp,5.5,0.0
0.0,0,b_perp,6.5,0.0
0.0,0,b_perp,7.5,0.0
0.0,0,b_perp,8.5,0.0
0.0,0,b_perp,9.5,0.0
0.0,0,b_perp,10.5,0.0
0.0,0,b_perp,11.5,0.0
0.0,0,upar,0.5,0.005450276588442506
0.0,0,upar,1.5,0.053671812627458126
0.0,0,upar,2.5,0.048906690175863056
0.0,0,upar,3.5,0.0
0.0,0,upar,4.5,0.0
0.0,0,upar,5.5,0.0
0.0,0,upar,6.5,0.0
0.0,0,upar,7.5,0.0
0.0,0,upar,8.5,0.0
0.0,0,upar,9.5,0.0
0.0,0,upar,10.5,0.0
0.0,0,upar,11.5,0.0
0.0,0,dbpar,0.5,0.004853244916995544
0.0,0,dbpar,1.5,0.04647138905932066
0.0,0,dbpar,2.5,0.12314695032773262
0.0,0,dbpar,3.5,0.0
0.0,0,dbpar,4.5,0.0
0.0,0,dbpar,5.5,0.0
0.0,0,dbpar,6.5,0.0
0.0,0,dbpar,7.5,0.0
0.0,0,dbpar,8.5,0.0
0.0,0,dbpar,9.5,0.0
0.0,0,dbpar,10.5,0.0
0.0,0,dbpar,11.5,0.0
0.0,0,s,0.5,0.000747593377714979
0.0,0,s,1.5,0.021453642782262857
0.0,0,s,2.5,0.03452348729331023
0.0,0,s,3.5,0.0
0.0,0,s,4.5,0.0
0.0,0,s,5.5,0.0
0.0,0,s,6.5,0.0
0.0,0,s,7.5,0.0
0.0,0,s,8.5,0.0
0.0,0,s,9.5,0.0
0.0,0,s,10.5,0.0
0.0,0,s,11.5,0.0
0.5000000000000001,25,u_perp,0.5,0.0
0.5000000000000001,25,u_perp,1.5,0.04157419083512144
0.5000000000000001,25,u_perp,2.5,0.12286212369970662
0.5000000000000001,25,u_perp,3.5,0.004027175672339893
0.5000000000000001,25,u_perp,4.5,0.0019442244387251836
0.5000000000000001,25,u_perp,5.5,0.0005376596967098629
0.5000000000000001,25,u_perp,6.5,2.5287725227294756e-05
0.5000000000000001,25,u_perp,7.5,4.146385611404051e-06
0.5000000000000001,25,u_perp,8.5,0.0
0.5000000000000001,25,u_perp,9.5,0.0
0.5000000000000001,25,u_perp,10.5,0.0
0.5000000000000001,25,u_perp,11.5,0.0
0.5000000000000001,25,b_perp,0.5,0.0
0.5000000000000001,25,b_perp,1.5,0.03914878485486928
0.5000000000000001,25,b_perp,2.5,0.17658055455706265
0.5000000000000001,25,b_perp,3.5,0.013196254168496046
0.5000000000000001,25,b_perp,4.5,0.008895740732101974
0.5000000000000001,25,b_perp,5.5,0.0018789739160770343
0.5000000000000001,25,b_perp,6.5,8.240861742965729e-05
0.5000000000000001,25,b_perp,7.5,1.4798910516811158e-05
0.5000000000000001,25,b_perp,8.5,0.0
0.5000000000000001,25,b_perp,9.5,0.0
0.5000000000000001,25,b_perp,10.5,0.0
0.5000000000000001,25,b_perp,11.5,0.0
0.5000000000000001,25,upar,0.5,0.007177702964680682
0.5000000000000001,25,upar,1.5,0.03907960883221477
0.5000000000000001,25,upar,2.5,0.047955771094470814
0.5000000000000001,25,upar,3.5,0.009167015478563495
0.5000000000000001,25,upar,4.5,0.007844338834598385
0.5000000000000001,25,upar,5.5,0.0013575566579888537
0.5000000000000001,25,upar,6.5,2.8812973016251238e-05
0.5000000000000001,25,upar,7.5,4.137134523108075e-06
0.5000000000000001,25,upar,8.5,0.0
0.5000000000000001,25,upar,9.5,0.0
0.5000000000000001,25,upar,10.5,0.0
0.5000000000000001,25,upar,11.5,0.0
0.5000000000000001,25,dbpar,0.5,0.0031257929927296308
0.5000000000000001,25,dbpar,1.5,0.05981137827185713
0.5000000000000001,25,dbpar,2.5,0.09673538369923407
0.5000000000000001,25,dbpar,3.5,0.005882134362951104
0.5000000000000001,25,dbpar,4.5,0.003095011059856579
0.5000000000000001,25,dbpar,5.5,0.001187911605901717
0.5000000000000001,25,dbpar,6.5,3.906264171110571e-05
0.5000000000000001,25,dbpar,7.5,7.697793640000521e-06
0.5000000000000001,25,dbpar,8.5,0.0
0.5000000000000001,25,dbpar,9.5,0.0
0.5000000000000001,25,dbpar,10.5,0.0
0.5000000000000001,25,dbpar,11.5,0.0
0.5000000000000001,25,s,0.5,0.000747593377714979
0.5000000000000001,25,s,1.5,0.021043550380350495
0.5000000000000001,25,s,2.5,0.03283368010872852
0.5000000000000001,25,s,3.5,0.0015451107487916334
0.5000000000000001,25,s,4.5,0.0004872307910352783
0.5000000000000001,25,s,5.5,6.581913780424774e-05
0.5000000000000001,25,s,6.5,1.572701491580926e-06
0.5000000000000001,25,s,7.5,1.5495910110885435e-07
0.5000000000000001,25,s,8.5,0.0
0.5000000000000001,25,s,9.5,0.0
0.5000000000000001,25,s,10.5,0.0
0.5000000000000001,25,s,11.5,0.0
1.0000000000000004,50,u_perp,0.5,0.0
1.0000000000000004,50,u_perp,1.5,0.0347990197744527
1.0000000000000004,50,u_perp,2.5,0.16344028821090997
1.0000000000000004,50,u_perp,3.5,0.012755027940740469
1.0000000000000004,50,u_perp,4.5,0.01046982678782535
1.0000000000000004,50,u_perp,5.5,0.007994280030201695
1.0000000000000004,50,u_perp,6.5,0.0007197241393956458
1.0000000000000004,50,u_perp,7.5,0.0002651241472232702
1.0000000000000004,50,u_perp,8.5,0.0
1.0000000000000004,50,u_perp,9.5,0.0
1.0000000000000004,50,u_perp,10.5,0.0
1.0000000000000004,50,u_perp,11.5,0.0
1.0000000000000004,50,b_perp,0.5,0.0
1.0000000000000004,50,b_perp,1.5,0.043727414722316914
1.0000000000000004,50,b_perp,2.5,0.06760494833965565
1.0000000000000004,50,b_perp,3.5,0.0273585892484389
1.0000000000000004,50,b_perp,4.5,0.021252364640814515
1.0000000000000004,50,b_perp,5.5,0.01777174722106135
1.0000000000000004,50,b_perp,6.5,0.002334164373339065
1.0000000000000004,50,b_perp,7.5,0.00027747979435867933
1.0000000000000004,50,b_perp,8.5,0.0
1.0000000000000004,50,b_perp,9.5,0.0
1.0000000000000004,50,b_perp,10.5,0.0
1.0000000000000004,50,b_perp,11.5,0.0
1.0000000000000004,50,upar,0.5,0.005332438693869734
1.0000000000000004,50,upar,1.5,0.0314079078495145
1.0000000000000004,50,upar,2.5,0.054988073101352536
1.0000000000000004,50,upar,3.5,0.017176332936999137
1.0000000000000004,50,upar,4.5,0.01349619713842997
1.0000000000000004,50,upar,5.5,0.00864462689411945
1.0000000000000004,50,upar,6.5,0.0006573333262703825
1.0000000000000004,50,upar,7.5,0.0001294033140690975
1.0000000000000004,50,upar,8.5,0.0
1.0000000000000004,50,upar,9.5,0.0
1.0000000000000004,50,upar,10.5,0.0
1.0000000000000004,50,upar,11.5,0.0
1.0000000000000004,50,dbpar,0.5,0.004971031715650261
1.0000000000000004,50,dbpar,1.5,0.062318025090915725
1.0000000000000004,50,dbpar,2.5,0.05081259206409855
1.0000000000000004,50,dbpar,3.5,0.013112416392351401
1.0000000000000004,50,dbpar,4.5,0.010019772417896455
1.0000000000000004,50,dbpar,5.5,0.00851802014879172
1.0000000000000004,50,dbpar,6.5,0.0006679570843589755
1.0000000000000004,50,dbpar,7.5,0.00024607761832516514
1.0000000000000004,50,dbpar,8.5,0.0
1.0000000000000004,50,dbpar,9.5,0.0
1.0000000000000004,50,dbpar,10.5,0.0
1.0000000000000004,50,dbpar,11.5,0.0
1.0000000000000004,50,s,0.5,0.000747593377714979
1.0000000000000004,50,s,1.5,0.019820653429800644
1.0000000000000004,50,s,2.5,0.02454260591339501
1.0000000000000004,50,s,3.5,0.006962135059605792
1.0000000000000004,50,s,4.5,0.0030657681602406306
1.0000000000000004,50,s,5.5,0.0014469504854036114
1.0000000000000004,50,s,6.5,0.00011611802394861418
1.0000000000000004,50,s,7.5,2.2751433404644187e-05
1.0000000000000004,50,s,8.5,0.0
1.0000000000000004,50,s,9.5,0.0
1.0000000000000004,50,s,10.5,0.0
1.0000000000000004,50,s,11.5,0.0
