step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622367e-13,0.0,4.5888190516707e-13,6.40422650443282e-13,0.0,4.569970793548962e-13,6.344617616061873e-13,0.0,1.1396004713102775e-12,1.591754645940458e-12,0.0,1.0238493008008257e-12,1.4384048126146477e-12,6.927304242314349e-26,1.0442316526945268e-25,6.493446171053029e-25,8.23040824797899e-25,1.6455073870128834e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,2.512227616920045e-13,3.514326707010986e-13,0.0,1.5696743332034035e-13,2.21373509360624e-13,0.0,2.150483683365289e-10,3.039701437269608e-10,0.0,2.7897268088295675e-10,3.9429347906647227e-10,0.0,7.363815941414032e-11,1.0411870522456162e-10,6.927256977295155e-26,2.312290036210171e-20,3.891287833951202e-20,6.20358479741835e-20,1.4043778732995301e-19,0.0,0.0,4.385596651995079e-19,4.385596651995079e-19,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,7.546199849555323e-14,1.065908699529435e-13,0.0,5.042919736787824e-13,7.118153403251489e-13,0.0,2.672603065484547e-10,3.777906518535121e-10,0.0,1.2352815800976083e-10,1.7468598440162718e-10,0.0,2.335817918398718e-10,3.3020850372493407e-10,6.927211189615329e-26,3.5714035728186967e-20,7.629602910642221e-21,4.334370791094108e-20,8.608374057571648e-20,0.0,0.0,-1.750954617331552e-19,-1.750954617331552e-19,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,2.3189398306736176e-13,3.278819218394422e-13,0.0,2.489724472263085e-13,3.457643146849882e-13,0.0,1.1993574903024653e-10,1.6955191368607922e-10,0.0,1.9313043469524005e-10,2.7156757963555384e-10,0.0,3.667541815679364e-10,5.18460570838626e-10,6.927163925231009e-26,7.192291947723141e-21,1.8649682402786183e-20,2.5842043622148576e-20,2.5792085879047505e-19,0.0,0.0,5.367745326213852e-19,5.367745326213852e-19,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,1.8443488384258295e-13,2.606679232147831e-13,0.0,3.7552605770377797e-13,5.255274382213886e-13,0.0,1.1210903922290964e-10,1.5845346688186522e-10,0.0,1.852034815350239e-10,2.592836886246132e-10,0.0,3.6932942647606035e-10,5.221109863838125e-10,6.927118138166236e-26,6.2842183377419464e-21,1.715016478634696e-20,2.3434452395270286e-20,1.859292098698923e-19,0.0,0.0,-2.3211961653903943e-19,-2.3211961653903943e-19,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,1.3592847673758023e-13,1.918892073382446e-13,0.0,4.50751186159146e-13,6.302533358416014e-13,0.0,2.6531174906812864e-10,3.750275738980552e-10,0.0,2.5039729075201487e-10,3.5361647955739184e-10,0.0,2.395067795334233e-10,3.386061283276208e-10,6.927070874416817e-26,3.519516209679483e-20,3.134940160797453e-20,6.65446329754781e-20,9.801793081829967e-20,0.0,0.0,-2.7466348628136645e-19,-2.7466348628136645e-19,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,2.513509396972989e-13,3.516557187167977e-13,0.0,1.561147781980377e-13,2.200208051697666e-13,0.0,2.2027546088753337e-10,3.113822411643576e-10,0.0,2.8244907909135154e-10,3.9897650591341755e-10,0.0,7.851252709324101e-11,1.1102179434219159e-10,6.927025087967082e-26,2.4260639334607622e-20,3.9888741139776285e-20,6.414944974463479e-20,1.4354240319457866e-19,0.0,0.0,1.4671262918550436e-19,1.4671262918550436e-19,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,7.585111432911027e-14,1.0708709549821447e-13,0.0,5.04049209792981e-13,7.115091939068184e-13,0.0,1.6472721880081698e-11,2.3295799995797643e-11,0.0,2.150965704555731e-10,3.015644596694055e-10,0.0,1.0162637202992389e-12,1.4298346371738439e-12,6.92697930181999e-26,1.3567528306926112e-22,2.3133267310874655e-20,2.3269011863736935e-20,8.129496879761441e-20,0.0,0.0,-2.0050787824039203e-19,-2.0050787824039203e-19,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,2.315653229095371e-13,3.274105810308128e-13,0.0,2.501745120189527e-13,3.472039468201916e-13,0.0,2.0442453717482897e-10,2.8895184388568827e-10,0.0,4.701760116579371e-10,6.606953177135099e-10,0.0,6.475153089880153e-11,9.155520430332893e-11,6.926932039017846e-26,2.0894695699571517e-20,1.1053274096928229e-19,1.314275059381742e-19,4.550317942662454e-19,0.0,0.0,1.1674979624091893e-18,1.1674979624091893e-18,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,1.8495526177762264e-13,2.613887158960355e-13,0.0,3.7448852412659624e-13,5.23959624419709e-13,0.0,2.702450038483076e-10,3.8200854233782393e-10,0.0,2.5605037172678053e-10,3.6186302659980495e-10,0.0,2.2208939661352582e-10,3.1396126441080883e-10,6.926886253485797e-26,3.65161810524859e-20,3.278089643071123e-20,6.929714675205967e-20,2.4799913501085827e-19,0.0,0.0,-6.675495811473212e-19,-6.675495811473212e-19,0.0,0.0,0.0,0.0,0.0,0.0
315,3.149999999999977,0.01,0.0,1.3532381193286023e-13,1.9106776788089767e-13,0.0,4.514680756693443e-13,6.311555071933453e-13,0.0,1.3460179942759488e-10,1.90282765450616e-10,0.0,3.7118503449247304e-10,5.243952803272461e-10,0.0,3.612054727616317e-10,5.106172936433593e-10,6.926838991318531e-26,9.058822204573241e-21,6.88891649155892e-20,7.794805638855234e-20,1.4694117276726266e-19,0.0,0.0,-3.1573168569242405e-19,-3.1573168569242405e-19,0.0,0.0,0.0,0.0,0.0,0.0
