step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,1.734723475976807e-18,0.4342173625223503,1.4616505902339754,-6.938893903907228e-18,0.4342173625223504,1.578884777563656,-3.469446951953614e-18,0.4342173625223503,1.5171696917044408,3.469446951953614e-18,0.4342173625223503,1.34588600943537,-3.469446951953614e-18,0.4342173625223503,1.6791033171458931,0.416275849288917,0.0942723589579331,0.09427235895793307,0.6048205672047832,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.32803087231010675,0.025137820730500145,3.469446951953614e-18,0.4686116499494771,1.4916225039806192,4.5102810375396984e-17,4.095725471170767,13.378993420294162,-1.214306433183765e-17,2.4222536319650043,8.011440852394205,0.0,1.9793100860635378,6.534900627699869,2.7755575615628914e-17,2.8545451756100233,8.608943087472362,2.581647657414763,2.9336563287838273,1.958834208396424,7.474138194595015,11.63304800608302,0.0,0.0,29.093217187200345,29.093217187200345,0.0,0.0,0.0,0.0,0.0,0.0
63,0.63033958789506,0.00213158194048674,-2.42861286636753e-17,2.6905594695351374,8.668032472953758,0.0,43.588341229789485,154.21303162044043,1.1102230246251565e-16,5.473920999047401,22.63589899141373,5.551115123125783e-17,21.600300911552573,69.95564219596935,1.1102230246251565e-16,29.959085297440502,96.36659927964847,247.82761115384957,14.981905551906042,233.28649973480947,496.0960164405651,971.7201499773897,0.0,0.0,2554.4898136834518,2554.4898136834518,0.0,0.0,0.0,0.0,0.0,0.0
327,0.9426498079171433,0.0008839048969775069,-2.220446049250313e-16,14.121278861969962,53.774227299641375,1.1102230246251565e-15,164.0404156229695,671.9829763139805,-9.43689570931383e-16,50.05350261897431,179.1467231062857,6.661338147750939e-16,43.64181937588984,177.52016927260263,-1.4432899320127035e-15,55.51217622728657,227.24305656442237,1736.1089570621614,1252.6765622138341,952.3041992188969,3941.089718494892,5725.426379275905,0.0,0.0,14393.983054364151,14393.983054364151,0.0,0.0,0.0,0.0,0.0,0.0
724,1.2568988261571072,0.0006200908503472613,-2.220446049250313e-16,27.83834558823208,88.34130350237001,1.2212453270876722e-15,252.1662067932985,1027.4574879649324,-2.220446049250313e-16,73.74183506656651,278.50837356214805,-2.220446049250313e-16,64.86452622802953,260.6858937143471,-4.440892098500626e-16,79.42798573758317,316.2932414520335,3646.9930231324934,2718.929119492349,2103.703381393366,8469.625524018207,12276.706233360597,0.0,0.0,19552.385140723192,19552.385140723192,0.0,0.0,0.0,0.0,0.0,0.0
1332,1.5709074666586649,0.00036853700118247664,0.0,73.37610187470585,213.17468926664316,1.3322676295501878e-14,381.12506907644877,1527.080732059851,-4.440892098500626e-16,99.12386255821157,370.6900378079702,0.0,149.147649950496,455.9954485661344,-8.881784197001252e-16,198.9625780318176,613.2360628329236,13224.430114349138,4912.7700642296095,11122.510742877846,29259.710921456593,51070.47067774256,0.0,0.0,101880.80472537853,101880.80472537853,0.0,0.0,0.0,0.0,0.0,0.0
3406,1.8849898157318155,7.625258199774586e-05,1.1102230246251565e-15,395.2000445326454,971.60930382572,2.042810365310288e-14,1667.0245855673954,6802.977753592244,-2.4424906541753444e-15,152.02618505907378,608.7897191473287,3.552713678800501e-15,791.4782041016001,2092.0279664810582,-1.0658141036401503e-14,1083.9386216221037,2760.51624098193,319579.08945173724,11555.980471807874,313218.87378394697,644353.9437074921,1274802.010061326,0.0,0.0,3140851.5209161583,3140851.5209161583,0.0,0.0,0.0,0.0,0.0,0.0
8972,2.199163203543386,5.5317580609792455e-05,7.105427357601002e-15,486.95330429226806,1512.950328986543,2.7000623958883807e-13,2817.646873474481,11042.921367975017,1.021405182655144e-14,241.79745364076024,893.7732776350998,-1.4210854715202004e-14,1036.4870703473728,3259.115109915693,1.4210854715202004e-14,1418.3070484642417,4496.108830923939,514048.1878200909,29233.004293577796,537152.7234986399,1080433.9156123085,2160717.2577162525,0.0,0.0,2421439.6613772325,2421439.6613772325,0.0,0.0,0.0,0.0,0.0,0.0
15044,2.513279188913563,5.270138842513277e-05,-8.881784197001252e-16,479.6233684453186,1559.240187248704,5.044853423896711e-13,3157.2843487771484,12120.416042300942,-4.440892098500626e-15,356.80269667319465,1275.1843907035457,-1.4210854715202004e-14,1162.6781843719298,3687.7555381326074,0.0,1588.3744099737041,4855.815048674621,615643.9636675501,63654.082176631855,675910.2802072035,1355208.3260513856,2712310.588148603,0.0,0.0,1649402.4149450758,1649402.4149450758,0.0,0.0,0.0,0.0,0.0,0.0
21593,2.8274754591159734,5.199873175371092e-05,-1.4210854715202004e-14,478.76786450229133,1579.3043155295886,4.725109192804666e-13,3462.797731263476,11915.249249196997,-6.039613253960852e-14,407.67115884354547,1711.423835446833,-1.4210854715202004e-14,1254.3135993221329,4216.692635793801,2.842170943040401e-14,1710.6091649318005,5782.956247195077,680849.930784158,83097.88687641965,786651.3027222219,1550599.1203827995,3127320.0261951624,0.0,0.0,1357709.1505230672,1357709.1505230672,0.0,0.0,0.0,0.0,0.0,0.0
25251,3.0,3.700940721351742e-05,-2.842170943040401e-14,473.48534450600624,1709.8349240744424,3.836930773104541e-13,3440.790382269369,13317.083307182269,-4.085620730620576e-14,422.6485317275827,1701.5111886193067,2.842170943040401e-14,1281.2215907203274,5188.137209748143,-2.842170943040401e-14,1746.5777664486027,6862.089879616426,692631.4361521744,89315.89068574074,820764.3822639631,1602711.709101878,3247120.24281404,0.0,0.0,881682.8282505289,881682.8282505289,0.0,0.0,0.0,0.0,0.0,0.0
