step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622367e-13,0.0,4.5888190516707e-13,6.40422650443282e-13,0.0,4.569970793548963e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.5917546459404579e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,1.161932423195639e-25,1.0442316526945268e-25,6.493446171053029e-25,8.699610246943194e-25,6.632855643059977e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.1,0.0,2.657468210713983e-12,3.690101534403241e-12,0.0,8.152122864083143e-11,1.1400895181173362e-10,0.0,6.676951194779723e-13,9.33375006460866e-13,0.0,1.1601605135855767e-12,1.6201250241094502e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,3.0150815081854517e-22,2.2290838628735186e-25,6.729862086415743e-25,3.0240404541347406e-22,3.702267999730067e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,0.1,0.0,7.302355923249903e-12,1.0182410777312912e-11,0.0,1.1422218769248168e-10,1.5978773884183057e-10,0.0,1.619347582172151e-12,2.2884052706322138e-12,0.0,1.2076784621259218e-12,1.6862067298653153e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,8.48405080934484e-22,1.3111432959433957e-24,7.292436339414155e-25,8.504454678643688e-22,9.238939649538857e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9999999999999999,0.1,0.0,1.2633376843713714e-11,1.764131984056175e-11,0.0,1.1060879076085799e-10,1.547414742673068e-10,0.0,6.8413766577572575e-12,9.509674141709266e-12,0.0,1.2839096484037199e-12,1.792361190424188e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,1.5079645447654576e-21,2.3402217286652926e-23,8.242119926320817e-25,1.5321909740447426e-21,1.615136307003326e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.3,0.1,0.0,1.6991815347019397e-11,2.3738710868241253e-11,0.0,7.36784612709395e-11,1.0305503898316689e-10,0.0,1.501051139080147e-11,2.088588042201927e-11,0.0,1.390676033876569e-12,1.9411255559111705e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,2.085480690780414e-21,1.1265772610669034e-22,9.669899155993321e-25,2.1991054068027037e-21,2.2963285320580122e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.6000000000000003,0.1,0.0,1.9142840503785986e-11,2.6745974352332e-11,0.0,1.819510485734856e-11,2.537994533003906e-11,0.0,2.5103942319076498e-11,3.499187024667956e-11,0.0,1.5305293485224145e-12,2.136055400481395e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,2.394647374318949e-21,3.1510395997975992e-22,1.1712600433442227e-24,2.7109225943420533e-21,2.828572732371851e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.9000000000000006,0.1,0.0,1.871252650498871e-11,2.6138855323932097e-11,0.0,3.4449255303053054e-11,4.832400128913451e-11,0.0,3.561243591323308e-11,4.967538356196036e-11,0.0,1.706812104181591e-12,2.3818097030714765e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,2.3216754898738023e-21,6.341227958370666e-22,1.4566037794903948e-24,2.9572548894903596e-21,3.1034394011347742e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.2000000000000006,0.1,0.0,1.632705678800846e-11,2.279264490617498e-11,0.0,6.361078596029463e-11,8.918985863346242e-11,0.0,4.5103645762160826e-11,6.29313298444518e-11,0.0,1.9237375052220863e-12,2.684262200716266e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,1.888351249158945e-21,1.0171694305192439e-21,1.8503829944990483e-24,2.9073710626726883e-21,3.0929334958179683e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.600000000000001,0.1,0.0,1.2613051198681399e-11,1.757859428523366e-11,0.0,4.580295780206308e-11,6.433291009303118e-11,0.0,5.492613446928475e-11,7.663340668769943e-11,0.0,2.2853093540858535e-12,3.1884400165978145e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,1.114767775952766e-21,1.508440123868975e-21,2.6113194219361502e-24,2.625819219243677e-21,2.8874752951326674e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.9000000000000012,0.1,0.0,1.1632877155785837e-11,1.6190404448121244e-11,0.0,7.956214330495551e-12,1.1234645249294755e-11,0.0,6.060544220961499e-11,8.453969100030437e-11,0.0,2.619144204550149e-12,3.653970854234567e-12,0.0,1.0238493008008255e-12,1.4384048126146477e-12,8.82039568162456e-22,1.8365098127114907e-21,3.429958182114317e-24,2.721979339056061e-21,3.065499290962868e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
