step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,3.244785069074374e-13,4.5284719895390656e-13,0.0,3.2314573379429397e-13,4.486322140352979e-13,0.0,8.058192211068828e-13,1.1255405041296899e-12,0.0,7.239707835093692e-13,1.0171057970911827e-12,1.55518264275492e-25,1.044231652694527e-25,6.493446171053031e-25,9.092860466502478e-25,2.1797928651349613e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,4.934632568798996e-12,6.8872603275411256e-12,0.0,4.5764828964157235e-10,6.470035146030268e-10,0.0,6.38756808292528e-10,8.879491690004541e-10,0.0,8.241815359828955e-13,1.1563109954641015e-12,1.5024800580314304e-24,2.0944195701185656e-19,4.0801026014005724e-19,6.174537196319718e-19,1.086431709412989e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.1389994634936014e-11,1.5941376207162368e-11,0.0,9.009277124637405e-10,1.2737038521268063e-09,0.0,2.7901113377756065e-09,3.89366796634714e-09,0.0,1.1634399899015026e-12,1.6308430373813576e-12,7.357001124410284e-24,8.116707430851483e-19,7.784721277183983e-18,8.596399377270255e-18,1.7544356221878938e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,2.1543369844357917e-11,3.017044589163212e-11,0.0,1.3585065081597091e-09,1.9206203295707077e-09,0.0,7.265069479969282e-09,1.0159880974682327e-08,0.0,1.8690275536399937e-12,2.6187978860399552e-12,2.5933934817016883e-23,1.8455399327122853e-18,5.2781234548781125e-17,5.4626800415428225e-17,1.152948895969464e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,3.7685967598766486e-11,5.278661501595015e-11,0.0,1.8017859755091814e-09,2.5473206670944873e-09,0.0,1.5073769116268648e-08,2.1097102905661226e-08,0.0,3.1002070125907456e-12,4.343201672376949e-12,7.905145535059949e-23,3.2464327015415716e-18,2.272185153705745e-16,2.3046502712357144e-16,4.916357440573543e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,6.587613323481271e-11,9.227792841798518e-11,0.0,2.259364784227446e-09,3.1942371445383814e-09,0.0,2.9146873435282253e-08,4.081016806868514e-08,0.0,5.319044765858086e-12,7.451238102646298e-12,2.4124216513479494e-22,5.104729228207132e-18,8.495402310523624e-16,8.546452015227346e-16,1.8311282540130898e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.1247764553982613e-10,1.575593640048619e-10,0.0,2.702644256980999e-09,3.8209374820621515e-09,0.0,5.2661317276302904e-08,7.374920795151126e-08,0.0,9.026431698683001e-12,1.2644531742538945e-11,7.029952660354598e-22,7.304285979792372e-18,2.7732143372754377e-15,2.780519326250496e-15,5.968122094250456e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.9165983631044789e-10,2.684800092500181e-10,0.0,3.1459237307534744e-09,4.447637819585922e-09,0.0,9.275936058196371e-08,1.2991907667460697e-07,0.0,1.5348447237449694e-11,2.1500485742137746e-11,2.0408992720557324e-21,9.896836119717858e-18,8.604298975574759e-15,8.614197852593748e-15,1.85041969106683e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,3.320091755821476e-10,4.650845612082313e-10,0.0,3.603502543059678e-09,5.094554297029814e-09,0.0,1.639216007148107e-07,2.296044021307882e-07,0.0,2.6568159044379592e-11,3.721725127397496e-11,6.124043706288492e-21,1.298523057783757e-17,2.687029118090582e-14,2.688328253552736e-14,5.776867540335514e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,5.652088649273813e-10,7.91755570653722e-10,0.0,4.046782017914854e-09,5.721254634553584e-09,0.0,2.822125778448099e-07,3.953086765906582e-07,0.0,4.521836415552823e-11,6.334281406258828e-11,1.774798639083079e-20,1.6376444700519018e-17,7.96439390938129e-14,7.966033328649981e-14,1.7120509291029554e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,3.149999999999977,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,9.78780773096721e-10,1.3710955046083512e-09,0.0,4.504360830981145e-09,6.368171111997476e-09,0.0,4.92027923033892e-07,6.892221534107982e-07,0.0,7.829864652505748e-11,1.0968232472466339e-10,5.322302754590388e-20,2.0289266495677154e-17,2.4209147704504546e-13,2.421118195345687e-13,5.203778912342645e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,3.45999999999997,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,1.666086808670014e-09,2.3338876220052796e-09,0.0,4.947640306359648e-09,6.994871449521247e-09,0.0,8.407324613251015e-07,1.1776944143943745e-06,0.0,1.332767239479164e-10,1.8669670933496037e-10,1.5421377489259368e-19,2.4479144601114587e-17,7.068310715257634e-13,7.068557048841394e-13,1.519305230147702e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,3.7699999999999636,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,2.8359975168123506e-09,3.9727219874824786e-09,0.0,5.3909197819010675e-09,7.621571787045018e-09,0.0,1.4342961090941633e-06,2.0091702267857653e-06,0.0,2.26860214598988e-10,3.1779033147991325e-10,4.468269227449041e-19,2.9062016094892244e-17,2.0572053285626556e-12,2.0572348374056732e-12,4.421838714805317e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,4.089999999999957,0.01,0.0,9.118632490868232e-14,1.2891754219234758e-13,0.0,4.910938752518945e-09,6.879341201806311e-09,0.0,5.848498595494791e-09,8.26848826448891e-09,0.0,2.487040329981874e-06,3.4838753783158485e-06,0.0,3.9283985136742536e-10,5.502979246399341e-10,1.339851229168599e-18,3.420493582150454e-17,6.185369602956346e-12,6.185405147743397e-12,1.32950255353497e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
