step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.8231693659622372e-13,0.0,4.5888190516707e-13,6.404226504432821e-13,0.0,4.569970793548962e-13,6.344617616061874e-13,0.0,1.1396004713102775e-12,1.5917546459404579e-12,0.0,1.0238493008008257e-12,1.4384048126146479e-12,1.5551826427549205e-25,1.0442316526945268e-25,6.493446171053029e-25,9.092860466502476e-25,2.179792865134961e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.3200000000000001,0.01,0.0,7.184859436675537e-13,1.0157067675269923e-12,0.0,1.2996077996114293e-10,1.8378419697121548e-10,0.0,6.424824075763033e-10,9.08302891684351e-10,0.0,9.289392209345244e-09,1.3127314724244345e-08,0.0,1.770091404924026e-08,2.5013798603241188e-08,4.738072297975809e-22,2.063918220225215e-19,4.3146403809522054e-17,4.335326943877437e-17,2.4960801612522177e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.6300000000000003,0.01,0.0,8.842517334930132e-12,1.2504860438643991e-11,0.0,1.0015599815683881e-09,1.4162443738289615e-09,0.0,1.2477037720852466e-09,1.7639543580753992e-09,0.0,1.367262387733759e-07,1.9335506642977094e-07,0.0,2.6153781272210125e-07,3.69860746041818e-07,2.8568222034235453e-20,7.783823514378764e-19,9.347032184557098e-15,9.34783913513057e-15,5.429256803152434e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000006,0.01,0.0,4.622739974965799e-11,6.536606428980405e-11,0.0,3.5785615758399996e-09,5.059775572656467e-09,0.0,1.8877345032594025e-09,2.6688402933127764e-09,0.0,7.227789867778281e-07,1.0220179535170714e-06,0.0,1.3836445817865307e-06,1.9564897796343876e-06,3.749578343907115e-19,1.7817707773980114e-18,2.612047318637919e-13,2.6120688859240365e-13,1.518678376927385e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,1.260000000000001,0.01,0.0,1.4864940017785323e-10,2.1017933853518114e-10,0.0,8.91166738329621e-09,1.259991298526419e-08,0.0,2.656759869910906e-09,3.756127331627771e-09,0.0,2.3280541742951006e-06,3.291697878091045e-06,0.0,4.457840843747127e-06,6.303060206109376e-06,2.4049202295176056e-18,3.529186503184506e-18,2.7099181192264206e-12,2.7099240533331535e-12,1.5760944960327134e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1.5800000000000012,0.01,0.0,3.905880098092645e-10,5.52245718402747e-10,0.0,1.9384642683200668e-08,2.7406926084077666e-08,0.0,3.927059760976474e-09,5.552156779932917e-09,0.0,6.119708258011327e-06,8.652551138511695e-06,0.0,1.1719628188421744e-05,1.6570182597834377e-05,1.1810930161643222e-17,7.710899183140299e-18,1.872541458158601e-11,1.8725434103415355e-11,1.0892374157714584e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,1.8900000000000015,0.01,0.0,8.677535447237777e-10,1.2268828791479504e-09,0.0,3.779025237057821e-08,5.342935684337962e-08,0.0,6.216033049287297e-09,8.788437878232892e-09,0.0,1.359759618795671e-05,1.922511078330262e-05,0.0,2.6041751710692628e-05,3.6819416977601666e-05,4.6446498546981454e-17,1.931953343491597e-17,9.244731104536741e-11,9.244737681139939e-11,5.377950699557213e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2.199999999999997,0.01,0.0,1.7735215024736552e-09,2.507492090494179e-09,0.0,7.051681553780624e-08,9.969927812947055e-08,0.0,1.06055186265476e-08,1.499450723212619e-08,0.0,2.7792140363445484e-05,3.9293897570730426e-05,0.0,5.322837695905659e-05,7.525690245615872e-05,1.664367753885441e-16,5.623851266902409e-17,3.8620153299072777e-10,3.862017556660158e-10,2.2467416205490484e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2.5199999999999902,0.01,0.0,3.5142636365657176e-09,4.96861702173904e-09,0.0,1.3136391556529115e-07,1.8572708901288801e-07,0.0,1.932009376720832e-08,2.731554804359818e-08,0.0,5.5071691108520186e-05,7.786272471339956e-05,0.0,0.00010547675211218845,0.00014912756726747327,5.904970599612856e-16,1.8663301158686088e-16,1.5164455807761308e-09,1.5164463579062024e-09,8.822159873418056e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,2.8299999999999836,0.01,0.0,6.60576515209929e-09,9.33949495888033e-09,0.0,2.3803846564018554e-07,3.365475274331044e-07,0.0,3.5230816344633494e-08,4.981075881275018e-08,0.0,0.00010351927277200089,0.00014635968801430393,0.0,0.00019826817010020078,0.00028031946855076894,1.966678285989254e-15,6.20605210154647e-16,5.358119917621962e-09,5.358122504905458e-09,3.117201466834879e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,3.149999999999977,0.01,0.0,1.2441761134351831e-08,1.759064199490359e-08,0.0,4.388535019110543e-07,6.204674057614811e-07,0.0,6.57963888939698e-08,9.302553095389078e-08,0.0,0.00019497649458568932,0.0002756652919100222,0.0,0.00037343558950718214,0.0005279776468370069,6.7429655627738456e-15,2.1645823957432574e-15,1.9007916720461674e-08,1.9007925628009633e-08,1.1058317552175965e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346,3.45999999999997,0.01,0.0,2.275839293970335e-08,3.2176681893561756e-08,0.0,7.942509640247571e-07,1.1229418328099062e-06,0.0,1.2030965525863438e-07,1.7009843657773855e-07,0.0,0.00035665093303368213,0.0005042466597924764,0.0,0.000683089293144684,0.0009657776343952312,2.2184683205399667e-14,7.237206574225723e-15,6.3599944016898e-08,6.359997343878778e-08,3.7000884857070874e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,3.7699999999999636,0.01,0.0,4.14414916040331e-08,5.8591550546269436e-08,0.0,1.4391065449563867e-06,2.0346631597835504e-06,0.0,2.1937213181346248e-07,3.101566831060112e-07,0.0,0.0006494384940051897,0.0009182007423272291,0.0,0.0012438624995545025,0.001758619917006253,7.298512080775732e-14,2.4062066108191573e-14,2.1088517874786432e-07,2.1088527579505124e-07,1.2268789918754917e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,4.089999999999957,0.01,0.0,7.677594081987272e-08,1.085487309250434e-07,0.0,2.66061141773255e-06,3.761673125334569e-06,0.0,4.068678476097829e-07,5.752451777282461e-07,0.0,0.0012031737813703836,0.0017010926296261108,0.0,0.0023044259927679227,0.0032580846860751547,2.4968571458145624e-13,8.277072270930877e-14,7.238135740885539e-07,7.238139065449912e-07,4.210973110006346e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,4.399999999999951,0.01,0.0,1.3941763136097767e-07,1.9711392530477515e-07,0.0,4.828164637316722e-06,6.82624206388691e-06,0.0,7.391635425099634e-07,1.0450573641052488e-06,0.0,0.0021848480613528686,0.003089020903480818,0.0,0.004184616334359191,0.005916368995382803,8.224680879930741e-13,2.7318137128793934e-13,2.386780525598694e-06,2.3867816212481534e-06,1.3885714445633781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
