step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,6.456423937151179e-17,1.0,6.759707733760187,2.6020852139652106e-18,8.101073881968466,54.81402536241986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79727771704669,0.0,0.0,6.79727771704669,6.79727771704669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3142,0.3141999999999817,0.0001,6.938893903907228e-17,1.1476020252655925,6.384713128879075,1.3877787807814457e-16,20.8453901921367,91.45985892268048,1.1102230246251565e-16,7.338948516347193,41.80012477736146,-1.1102230246251565e-16,10.44996217631482,46.92251854313939,-1.1102230246251565e-16,10.80705335766908,49.483085072741275,31.956602801807843,26.93008266279733,54.60085474320519,113.48754020781035,206.96576752832627,0.0,0.0,637.0735527869015,637.0735527869015,0.0,0.0,0.0,0.0,0.0,0.0
6284,0.6283999999999471,0.0001,9.71445146547012e-17,4.126877386314733,18.653905261394748,-4.440892098500626e-16,89.39112345297502,462.6232195354217,-5.551115123125783e-17,31.965599071871953,125.71274402753481,6.106226635438361e-16,49.370524689582304,171.53339559418515,-9.43689570931383e-16,52.24723064926188,181.3660552300695,724.3824080669879,510.89976201183043,1218.724354062328,2454.0065241411467,4567.042958590765,0.0,0.0,13876.76844875823,13876.76844875823,0.0,0.0,0.0,0.0,0.0,0.0
9425,0.9424999999999125,0.0001,-1.1102230246251565e-16,13.07917497879069,46.95259311548231,-1.5543122344752192e-15,209.53615306313284,813.5928413758095,-2.6645352591003757e-15,90.73217126617317,359.1583818233206,0.0,68.71411100039194,290.6380225623184,-8.881784197001252e-16,81.45256770810994,289.0721816261181,2461.684274252121,4116.16345133709,2360.814525287092,8938.662250876303,13322.73689731392,0.0,0.0,27875.822861325443,27875.822861325443,0.0,0.0,0.0,0.0,0.0,0.0
12567,1.256699999999878,0.0001,1.6653345369377348e-16,16.895070401338124,62.75055746490557,7.105427357601002e-15,361.6721882143756,1276.3219478923097,-6.661338147750939e-16,123.97890130666639,444.2184693343395,2.6645352591003757e-15,86.32959521982926,366.79962909093706,-1.2212453270876722e-15,89.46696791645964,320.9033631066495,5135.161632752561,7685.383984604063,3726.399505409783,16546.945122766407,22933.881587732234,0.0,0.0,30590.889692818117,30590.889692818117,0.0,0.0,0.0,0.0,0.0,0.0
15708,1.5707999999998434,0.0001,-3.3306690738754696e-16,20.219854876327894,80.88336348338106,7.993605777301127e-15,444.0707175701497,1514.9402529178153,-8.881784197001252e-16,158.38645829963622,583.168460652754,5.551115123125783e-15,101.0957696079799,347.68175715107407,1.6653345369377348e-15,100.1713270254722,387.7082922955988,8023.989830222556,12543.135086351202,5110.177316314875,25677.302232888633,34232.431546019754,0.0,0.0,35977.922789500444,35977.922789500444,0.0,0.0,0.0,0.0,0.0,0.0
18850,1.8849999999998088,0.0001,1.1102230246251565e-16,23.087991371492812,94.8897231855972,4.440892098500626e-15,537.9645951213271,2454.681788030948,2.4424906541753444e-15,183.45664331389614,685.0058121295137,7.993605777301127e-15,121.65422916040316,436.4258847425646,2.4980018054066022e-15,114.2655240572447,427.9482910499321,11333.050837319071,16828.169988001053,7399.875736305942,35561.096561626066,47631.16898943308,0.0,0.0,42665.94454610464,42665.94454610464,0.0,0.0,0.0,0.0,0.0,0.0
21992,2.1992000000002165,0.0001,-6.938893903907228e-16,26.90297387263853,94.92965600805775,3.9968028886505635e-15,607.8560377248212,2416.884799594664,6.8833827526759706e-15,213.66180913655373,847.8304421289369,2.220446049250313e-15,139.15108730108165,566.5491021426394,-8.881784197001252e-16,129.38344821154348,592.6096734315308,14959.72601386809,22825.684341752556,9681.512548536622,47466.92290415727,63184.67015078762,0.0,0.0,49557.97688309375,49557.97688309375,0.0,0.0,0.0,0.0,0.0,0.0
25133,2.5133000000008794,0.0001,-1.1657341758564144e-15,30.40073285204972,118.0015109136443,9.769962616701378e-15,713.7659746343181,2859.2740866639565,9.325873406851315e-15,239.56692515621867,859.4120661675097,2.6645352591003757e-15,158.80865234460737,556.9192299913993,5.329070518200751e-15,141.90948802437387,579.1929828594482,19237.86159371276,28696.155814402642,12610.094029755182,60544.11143787058,80656.60237799399,0.0,0.0,55743.52583516682,55743.52583516682,0.0,0.0,0.0,0.0,0.0,0.0
28275,2.8275000000015424,0.0001,-4.440892098500626e-16,33.8834955884011,126.3780023769703,-1.7763568394002505e-14,792.2761819881488,2741.484325829112,1.199040866595169e-14,261.5946705317419,1137.6788143840326,2.4980018054066022e-15,180.1959680102146,608.7856224483032,-7.771561172376096e-16,155.35430160620567,584.3498257933459,23994.770705361938,34215.88582530528,16235.293443569142,74445.94997423637,99953.21792864901,0.0,0.0,61634.81827852975,61634.81827852975,0.0,0.0,0.0,0.0,0.0,0.0
