kz_index,k_parallel,gamma_fit
0,0.0,0.0607284325693011
1,1.0,0.20858707527867254
2,2.0,0.18564862636772292
3,3.0,0.07827775036114423
4,4.0,-0.098087226382938
5,5.0,-0.23755497281590435
