kz_index,k_parallel,gamma_fit
0,0.0,1.7158427738453483
1,1.0,1.923362920888272
2,2.0,1.990935652318245
3,3.0,1.7444328000467317
4,4.0,0.9606313948956234
5,5.0,0.22992051024780927
