kz_index,k_parallel,gamma_fit
0,0.0,1.0883120103767985
1,1.0,0.046281251090197234
2,2.0,0.011309739290060383
3,3.0,0.002122529683061609
4,4.0,-0.005254389541285243
5,5.0,-0.008324498463633374
