step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
346,3.45999999999997,0.01,0.0,4.856162700167208e-08,6.865463448508867e-08,0.0,5.106580889530013e-07,7.219496147661086e-07,0.0,1.350499568037464e-07,1.909286429995762e-07,0.0,0.00025376008755595024,0.00035875663842137615,0.0,0.00048585778763214366,0.0006868877935451895,2.8467742437143825e-14,9.119245416346883e-15,3.219709101820176e-08,3.219712860518961e-08,1.872341741022244e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,3.7699999999999636,0.01,0.0,8.353086205021011e-08,1.180928546661274e-07,0.0,8.759872210773287e-07,1.2384385717053107e-06,0.0,2.32134500089534e-07,3.2818317065265093e-07,0.0,0.0004364933808249425,0.0006170982570992588,0.0,0.0008357249842927669,0.0011815171864564813,8.411202233062722e-14,2.6943213065908927e-14,9.526323575199416e-08,9.526334680722955e-08,5.539794436215314e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,4.089999999999957,0.01,0.0,1.4611580176345843e-07,2.0657314144484483e-07,0.0,1.531885625283827e-06,2.1657234977803336e-06,0.0,4.054487895178661e-07,5.732085358782467e-07,0.0,0.0007635337637691022,0.0010794559265665366,0.0,0.0014618873061238169,0.0020667624556775497,2.5733382464011616e-13,8.219436046075141e-14,2.9149190420770555e-07,2.9149224373589064e-07,1.695097657394849e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,4.399999999999951,0.01,0.0,2.5114884290928686e-07,3.5506498306437363e-07,0.0,2.6325817083828e-06,3.7218468983098952e-06,0.0,6.959099536150649e-07,9.838518519504383e-07,0.0,0.0013123882538790272,0.0018554061716361243,0.0,0.00251274288278783,0.0035524233310809347,7.601951841884988e-13,2.4214533177026077e-13,8.611814644598208e-07,8.611824668003368e-07,5.00798461655345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,4.719999999999944,0.01,0.0,4.391954119113006e-07,6.209182837690656e-07,0.0,4.601089337939944e-06,6.504850351206917e-06,0.0,1.2160363045698057e-06,1.7191873256038153e-06,0.0,0.0022950330790016803,0.0032446331677480015,0.0,0.004394148805652978,0.006212285604631379,2.324089685698339e-12,7.393721470158944e-13,2.633588416855966e-06,2.633591480317799e-06,1.5314976466251498e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,5.029999999999937,0.01,0.0,7.545049620357351e-07,1.066691296664306e-06,0.0,7.900190256884044e-06,1.116899770060033e-05,0.0,2.0886424160777207e-06,2.952845657403644e-06,0.0,0.003942695783212399,0.005574037930805659,0.0,0.007548820854647946,0.010672244598648259,6.8571942533779595e-12,2.181213571119489e-12,7.772425019480415e-06,7.772434057888239e-06,4.519860406714384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,5.34999999999993,0.01,0.0,1.3187155358382413e-06,1.8643514078759446e-06,0.0,1.3804313890346905e-05,1.9516030177472603e-05,0.0,3.6503808607592433e-06,5.16077386629742e-06,0.0,0.006891001147217465,0.00974224337347277,0.0,0.013193747645542014,0.0186528340113207,2.0944403813017603e-11,6.6626402142986934e-12,2.37429484054762e-05,2.374297601252023e-05,0.0001380712097732938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,5.659999999999924,0.01,0.0,2.264798955856911e-06,3.2018892757752867e-06,0.0,2.370671701293447e-05,3.351568267542129e-05,0.0,6.268914480118628e-06,8.862760159503378e-06,0.0,0.011834798829901754,0.016731602315698223,0.0,0.02265931226282881,0.032034900379653626,6.177517411437045e-11,1.96496443795205e-11,7.003123167212195e-05,7.003131309694044e-05,0.0004072491977977784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,5.969999999999917,0.01,0.0,3.889593231962059e-06,5.498963528092055e-06,0.0,4.0714091109587224e-05,5.756008106747864e-05,0.0,1.0765475293213464e-05,1.521983209434263e-05,0.0,0.020325227701426935,0.028735057669218852,0.0,0.03891537899526084,0.05501712827408292,1.822058977822302e-10,5.794772914439474e-11,0.00020655744055742643,0.00020655768071105337,0.0012011833873517535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,6.28999999999991,0.01,0.0,6.797557266406323e-06,9.610135872788509e-06,0.0,7.115157998961612e-05,0.00010059148062748275,0.0,1.8812980022143003e-05,2.6597097631048438e-05,0.0,0.035520912198202706,0.050218156195180545,0.0,0.06800955915987573,0.096149407582771,5.564873779722923e-10,1.7696410865677584e-10,0.0006308676016962127,0.0006308683351476993,0.00366865357807148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,6.599999999999904,0.01,0.0,1.167397428046581e-05,1.6504234469158688e-05,0.0,0.0001221905717346071,0.00017274852559877394,0.0,3.2308328600190315e-05,4.567632393350758e-05,0.0,0.061002827819256394,0.0862435490624348,0.0,0.1167981113855409,0.16512486403945462,1.6412721856429656e-09,5.219140484689378e-10,0.0018606725009729205,0.0018606746641591546,0.010820278099880568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,6.919999999999897,0.01,0.0,2.0401152172623118e-05,2.884239683938151e-05,0.0,0.0002135330183118291,0.0003018851093264701,0.0,5.646102778226468e-05,7.982251960569192e-05,0.0,0.10660705146483816,0.15071711921996003,0.0,0.20411352619657464,0.2885681785535338,5.012428364994723e-09,1.593923829114832e-09,0.005682531711013322,0.005682538317365517,0.03304534975040829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,7.22999999999989,0.01,0.0,3.503576267466936e-05,4.953226965986525e-05,0.0,0.0003667069924138917,0.0005184368271687884,0.0,9.69627398339238e-05,0.0001370823469686166,0.0,0.18308080522313533,0.2588328930659831,0.0,0.35053280426954747,0.49557035612247363,1.478293139257407e-08,4.700886458050596e-09,0.01675929062057581,0.01675931010439366,0.09745948597637355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,7.539999999999884,0.01,0.0,6.016830801237049e-05,8.50637357402718e-05,0.0,0.0006297601203957826,0.0008903316418628767,0.0,0.00016651736811044925,0.00023541611627187896,0.0,0.3144119453974937,0.44450401748670487,0.0,0.6019839203732471,0.8510626742569412,4.359863341389089e-08,1.3864016941215427e-08,0.049427435704318276,0.04942749316696863,0.2874329578486627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,7.859999999999877,0.01,0.0,0.00010514774481858914,0.0001486540053071218,0.0,0.0011005432390718732,0.0015559074592405386,0.0,0.0002909981049621987,0.000411402393018529,0.0,0.5494538256371159,0.7767975628311954,0.0,1.0520031856194643,1.4872833212732748,1.3314875141577202e-07,4.233994854579542e-08,0.15094975325363102,0.15094992874233099,0.8778107435290021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817,8.16999999999987,0.01,0.0,0.0001805742797015829,0.000255289259681215,0.0,0.0018900027937912883,0.00267201627381745,0.0,0.000499741388746878,0.0007065159522185817,0.0,0.9435982575324062,1.3340244302789386,0.0,1.806645667123818,2.5541690412860794,3.9268892775601145e-07,1.248707278133291e-07,0.4451888358090965,0.4451893533687521,2.5888849421650817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849,8.489999999999863,0.01,0.0,0.0003155640146705169,0.0004461327705102017,0.0,0.003302885057626401,0.00466949713190518,0.0,0.000873326602642074,0.0012346769551944599,0.0,1.6489926189866209,2.3312849737556487,0.0,3.157217965488003,4.463558367130091,1.1992549846362057e-06,3.8134967744117346e-07,1.359588328736177,1.359589909340839,7.906347755584822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
880,8.799999999999857,0.01,0.0,0.0005419295627111033,0.0007661600372512454,0.0,0.005672161306342052,0.008019092547906316,0.0,0.0014997954286181173,0.0021203554862395083,0.0,2.8318750159406703,4.003600499020226,0.0,5.422005273634072,7.6654311708742355,3.5368947997167837e-06,1.1246931638519007e-06,4.009758052954484,4.009762714542448,23.317750610446826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,9.11999999999985,0.01,0.0,0.0009470526280074303,0.001338908091906676,0.0,0.00991242217948437,0.014013817051004712,0.0,0.0026209771444449174,0.0037054408631392536,0.0,4.948862104870594,6.996518801581903,0.0,9.475261541923823,13.39577545770182,1.0801514607062401e-05,3.434760595851317e-06,12.245618066512103,12.245632302787305,71.21134601167407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
