step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,-2.5728625772849373e-20,0.45899141256240217,1.414953852530425,3.2663708028493957e-20,0.45466663523145906,1.507811538309917,-2.80579663777987e-20,0.4320349828392493,1.6180007154902132,1.0831433813014366e-19,0.4026011037705292,1.218551925785896,9.68793933422106e-21,0.4553606206747665,1.5267493442955575,0.43859984843174304,0.09332711319845521,0.0810438243786242,0.6129707860088225,0.75,0.0,0.0,0.0,0.0,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
6,0.2899904871513305,0.05079475053954155,2.168404344971009e-19,0.4324380619864799,1.289276570462448,6.938893903907228e-18,0.8745376185940301,2.998305824094332,0.0,0.43499875869812604,1.766886572115257,8.673617379884035e-19,0.39479150964893395,1.3187723847773247,8.673617379884035e-19,0.8227227474956973,2.8300312056515877,0.41947639486688865,0.09461196003445523,0.07793016804544214,0.592018522946786,0.8527043251888827,-2.2264122436546644e-10,0.0,0.3550174193122331,0.35501741908959183,1.0,1.000000000000001e-12,0.0,8.48528137423857,0.0,0.0
10,0.5137152917928863,0.05896542205075164,0.0,0.4005269323292408,1.1698112073592482,2.6020852139652106e-18,0.9035498870269173,3.416636483260014,-2.6020852139652106e-18,0.4665411323840894,1.9271709200083684,0.0,0.3690257396347127,1.300763498722024,4.336808689942018e-19,1.2619458179135943,4.05146745826657,0.3705721655630331,0.10883031410311425,0.06808999825647338,0.5474924779226207,1.0455594329634887,-5.271322819303069e-10,0.0,0.858204889389357,0.8582048888622248,1.0,2.000000000000002e-12,0.0,8.48528137423857,0.07475917849974523,0.0027944673849783844
15,0.8022528651840437,0.05447482064857827,-8.673617379884035e-19,0.3979826108385072,1.2282951930780794,-1.0408340855860843e-17,0.9060892370894951,3.6451186458365408,-8.673617379884035e-19,0.5109036844123697,1.7992403571547286,1.734723475976807e-18,0.34581276609151684,1.2543362222589587,-8.673617379884035e-19,1.4275697637590272,4.6719082565752235,0.34822097567721005,0.13051128737306705,0.05979323459593307,0.5385254976462102,1.1485666984498741,-3.4487201580888186e-09,0.0,0.3571494835307876,0.3571494800820675,1.0,2.000000000000002e-12,0.0,8.48528137423857,0.07475917849974523,0.0027944673849783844
19,1.0012987713204822,0.04727032867369809,4.336808689942018e-19,0.4173279707000158,1.2661156970167542,5.204170427930421e-18,0.9675459434318395,3.496898536684415,8.673617379884035e-19,0.53921130375278,1.7432049811889359,-3.469446951953614e-18,0.3451420415078209,1.169016201865777,-1.734723475976807e-18,1.237169733309599,4.048516482144988,0.3824551734394926,0.14537441504738638,0.059561514408093166,0.5873911028949722,1.0602116335377483,-9.008515176430005e-09,0.0,-0.4386988410595277,-0.4386988500680429,1.0,2.000000000000002e-12,0.0,8.48528137423857,0.07475917849974523,0.0027944673849783844
25,1.2811046847753735,0.04815423759084287,0.0,0.44514830863200244,1.4496156380616887,-1.734723475976807e-18,1.040958635539826,4.6545911538924765,1.734723475976807e-18,0.5797990308987084,2.043444914682947,1.734723475976807e-18,0.35877017809256395,1.3248188515743455,6.505213034913027e-19,0.959003842902073,3.7121132545068516,0.413988688774041,0.1680834581155407,0.06435802034428502,0.6464301672338668,0.9591040476674063,-3.812486946236154e-08,0.0,-0.35969648413937344,-0.3596965222642429,1.0,4.000000000000004e-12,0.0,8.48528137423857,0.207853974175191,0.021601637290210484
30,1.5344479740624994,0.05139444247123125,-4.87890977618477e-19,0.447940630011639,1.4460901640076695,-6.938893903907228e-18,1.1034512649949129,5.944138900533308,8.673617379884035e-19,0.6132090583040849,2.2300338621317928,1.734723475976807e-18,0.37422267648256125,1.5127654405414617,7.589415207398531e-19,0.9264507744129306,3.648149868521717,0.41034744199595197,0.1880126745930913,0.07002130579688584,0.6683814223859291,0.9701467082836007,-7.78565352199299e-08,0.0,0.04375379890131609,0.04375372104478087,1.0,8.000000000000008e-12,0.0,8.48528137423857,0.2995480366778162,0.044864513138767166
35,1.7855886371040304,0.04892889799974529,4.336808689942018e-19,0.43404858719981226,1.3723433796230946,-1.0408340855860843e-17,1.095435734842882,5.642317357974033,0.0,0.6342249952184243,2.357275002078479,0.0,0.3944318498073301,1.8112805296555072,-1.3010426069826053e-18,1.0138253203009215,3.7778252079558587,0.39482554047566093,0.20112067227990524,0.07778824207121608,0.6737344548267822,1.0290399775204802,-2.4112674417444515e-07,0.0,0.2345550833472996,0.23455484222055542,1.0,8.000000000000008e-12,0.0,8.48528137423857,0.2995480366778162,0.044864513138767166
40,2.030593107647933,0.04976766399516624,8.673617379884035e-19,0.4257758427990697,1.4159309593068654,-1.3877787807814457e-17,1.1797913238359876,5.094184642971215,2.6020852139652106e-18,0.6441735671466069,2.389788753475093,-1.734723475976807e-18,0.41567240634758296,1.8413825448052212,4.336808689942018e-18,1.0381136996653362,3.8882428767414545,0.39462155903272106,0.20747979230519203,0.08639177469939506,0.6884931260373082,1.065858515163573,-3.3511490468125975e-07,0.0,0.15077717034645294,0.15077683523154825,1.0,1.6000000000000016e-11,0.0,8.48528137423857,0.38407570609362573,0.07375707400565859
45,2.2719823700472435,0.0454598213470266,4.336808689942018e-19,0.42878131688044774,1.4686750024684603,-1.9081958235744878e-17,1.2586652759525683,6.102246676334305,-3.469446951953614e-18,0.6522989722869525,2.5086895832491902,6.938893903907228e-18,0.43098479490891817,1.8423906721456214,-1.3010426069826053e-18,0.9516232982926177,3.464677233979974,0.4197964475501935,0.21274697462330724,0.09287394672134115,0.725417368894842,1.0627997791165795,-9.017242480488658e-07,0.0,-0.00959266988881318,-0.009593571613061227,1.0,1.6000000000000016e-11,0.0,8.48528137423857,0.38407570609362573,0.07375707400565859
