time,step,quantity,kperp,value
0.0,0,u_perp,0.5,0.0
0.0,0,u_perp,1.5,0.00019999999999999993
0.0,0,u_perp,2.5,0.0
0.0,0,u_perp,3.5,0.0
0.0,0,u_perp,4.5,0.0
0.0,0,u_perp,5.5,0.0
0.0,0,u_perp,6.5,0.0
0.0,0,u_perp,7.5,0.0
0.0,0,u_perp,8.5,0.0
0.0,0,u_perp,9.5,0.0
0.0,0,u_perp,10.5,0.0
0.0,0,u_perp,11.5,0.0
0.0,0,u_perp,12.5,0.0
0.0,0,u_perp,13.5,0.0
0.0,0,u_perp,14.5,0.0
0.0,0,u_perp,15.5,0.0
0.0,0,u_perp,16.5,0.0
0.0,0,u_perp,17.5,0.0
0.0,0,u_perp,18.5,0.0
0.0,0,u_perp,19.5,0.0
0.0,0,u_perp,20.5,0.0
0.0,0,u_perp,21.5,0.0
0.0,0,u_perp,22.5,0.0
0.0,0,u_perp,23.5,0.0
0.0,0,b_perp,0.5,0.0
0.0,0,b_perp,1.5,0.0
0.0,0,b_perp,2.5,0.0
0.0,0,b_perp,3.5,0.0
0.0,0,b_perp,4.5,0.0
0.0,0,b_perp,5.5,0.0
0.0,0,b_perp,6.5,0.0
0.0,0,b_perp,7.5,0.0
0.0,0,b_perp,8.5,0.0
0.0,0,b_perp,9.5,0.0
0.0,0,b_perp,10.5,0.0
0.0,0,b_perp,11.5,0.0
0.0,0,b_perp,12.5,0.0
0.0,0,b_perp,13.5,0.0
0.0,0,b_perp,14.5,0.0
0.0,0,b_perp,15.5,0.0
0.0,0,b_perp,16.5,0.0
0.0,0,b_perp,17.5,0.0
0.0,0,b_perp,18.5,0.0
0.0,0,b_perp,19.5,0.0
0.0,0,b_perp,20.5,0.0
0.0,0,b_perp,21.5,0.0
0.0,0,b_perp,22.5,0.0
0.0,0,b_perp,23.5,0.0
0.0,0,a,0.5,0.0
0.0,0,a,1.5,0.00020000000000000015
0.0,0,a,2.5,0.0
0.0,0,a,3.5,0.0
0.0,0,a,4.5,0.0
0.0,0,a,5.5,0.0
0.0,0,a,6.5,0.0
0.0,0,a,7.5,0.0
0.0,0,a,8.5,0.0
0.0,0,a,9.5,0.0
0.0,0,a,10.5,0.0
0.0,0,a,11.5,0.0
0.0,0,a,12.5,0.0
0.0,0,a,13.5,0.0
0.0,0,a,14.5,0.0
0.0,0,a,15.5,0.0
0.0,0,a,16.5,0.0
0.0,0,a,17.5,0.0
0.0,0,a,18.5,0.0
0.0,0,a,19.5,0.0
0.0,0,a,20.5,0.0
0.0,0,a,21.5,0.0
0.0,0,a,22.5,0.0
0.0,0,a,23.5,0.0
0.10000000000000007,50,u_perp,0.5,0.0
0.10000000000000007,50,u_perp,1.5,0.00022102976297474353
0.10000000000000007,50,u_perp,2.5,0.0
0.10000000000000007,50,u_perp,3.5,0.0
0.10000000000000007,50,u_perp,4.5,0.0
0.10000000000000007,50,u_perp,5.5,0.0
0.10000000000000007,50,u_perp,6.5,0.0
0.10000000000000007,50,u_perp,7.5,0.0
0.10000000000000007,50,u_perp,8.5,0.0
0.10000000000000007,50,u_perp,9.5,0.0
0.10000000000000007,50,u_perp,10.5,0.0
0.10000000000000007,50,u_perp,11.5,0.0
0.10000000000000007,50,u_perp,12.5,0.0
0.10000000000000007,50,u_perp,13.5,0.0
0.10000000000000007,50,u_perp,14.5,0.0
0.10000000000000007,50,u_perp,15.5,0.0
0.10000000000000007,50,u_perp,16.5,0.0
0.10000000000000007,50,u_perp,17.5,0.0
0.10000000000000007,50,u_perp,18.5,0.0
0.10000000000000007,50,u_perp,19.5,0.0
0.10000000000000007,50,u_perp,20.5,0.0
0.10000000000000007,50,u_perp,21.5,0.0
0.10000000000000007,50,u_perp,22.5,0.0
0.10000000000000007,50,u_perp,23.5,0.0
0.10000000000000007,50,b_perp,0.5,0.0
0.10000000000000007,50,b_perp,1.5,0.0
0.10000000000000007,50,b_perp,2.5,0.0
0.10000000000000007,50,b_perp,3.5,0.0
0.10000000000000007,50,b_perp,4.5,0.0
0.10000000000000007,50,b_perp,5.5,0.0
