step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,upar_mean,upar_rms,upar_max_abs,dbpar_mean,dbpar_rms,dbpar_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,upar_energy,dbpar_energy,entropy_variance,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
188,3.156954947989137,0.01666924695781436,5.296327612591689e-17,0.9999871619391175,6.795774365458364,-5.637851296924623e-17,8.100955970146584,55.11283528692731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797088503967952,0.0,0.0,0.0,6.797088503967952,6.797088503967952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,3.459036627857757,0.017183049407670084,4.9873299934333204e-17,0.9999859356307698,6.491235762238131,8.933825901280557e-17,8.100944707054811,52.58992728986566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7970704302250065,0.0,0.0,0.0,6.7970704302250065,6.7970704302250065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,3.7767995760251862,0.016812173733232284,4.786752591523502e-17,0.9999846596781071,6.569499557635012,1.3444106938820255e-16,8.100932988001269,53.2382379171196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797051624832029,0.0,0.0,0.0,6.797051624832029,6.797051624832029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,4.096210791720346,0.01663323695620115,3.962758940434519e-17,0.9999833563365151,6.797480159939559,8.239936510889834e-17,8.100921017394011,55.12696560498338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797032415800656,0.0,0.0,0.0,6.797032415800656,6.797032415800656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,4.399076162572723,0.016668243943971865,5.1553813301685736e-17,0.9999821172491893,6.876480391583451,1.5872719805187785e-16,8.10090963693348,55.78152224259141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7970141537929045,0.0,0.0,0.0,6.7970141537929045,6.7970141537929045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,4.718768405574462,0.016692620982338258,5.551115123125783e-17,0.9999808094401346,6.775347022839495,2.905661822261152e-17,8.100897625294643,54.94358646723547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796994878972089,0.0,0.0,0.0,6.796994878972089,6.796994878972089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,5.037731850277408,0.017112448399252085,5.2258544713801314e-17,0.9999795133853837,6.526297281072668,-2.168404344971009e-17,8.100885721613189,52.88035717770248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7969757774155495,0.0,0.0,0.0,6.7969757774155495,6.7969757774155495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,5.355392377268356,0.016854094648666686,5.627009275199768e-17,0.9999782391868928,6.536847820072838,-1.2750217548429532e-16,8.100874018670481,52.96775309726756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796956998006632,0.0,0.0,0.0,6.796956998006632,6.796956998006632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,5.6580726090238995,0.016637340494589526,5.355958732078392e-17,0.9999770031531094,6.8152962472455965,-1.8735013540549517e-16,8.100862666254946,55.27457367901006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796938781103613,0.0,0.0,0.0,6.796938781103613,6.796938781103613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,5.977584235089591,0.016687393637375723,6.011901046432122e-17,0.9999756982515696,6.87845900101632,-2.1337098754514727e-16,8.100850681319912,55.79791226319887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796919549240856,0.0,0.0,0.0,6.796919549240856,6.796919549240856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
