kz_index,k_parallel,gamma_fit
0,0.0,3.007607813482329
1,1.0,2.8519877975413257
2,2.0,2.3392567156515223
3,3.0,1.1988106601493194
4,4.0,-0.24236475357148157
5,5.0,0.06230697793491196
6,6.0,0.07435560223824966
7,7.0,0.06155499718559944
8,8.0,-0.00181188691306352
9,9.0,-0.029438389502613977
10,10.0,-0.06668723446520138
