step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
0,0.0,0.0,0.0,1.2895693738881813e-13,1.823169365962237e-13,0.0,4.588819051670699e-13,6.485821064265105e-13,0.0,4.569970793548962e-13,6.462842549394147e-13,0.0,1.1396004713102773e-12,1.6104064033409992e-12,0.0,1.0238493008008255e-12,1.4431338488713734e-12,1.161932423195639e-25,1.0442316526945268e-25,6.493446171053029e-25,8.699610246943194e-25,2.0091621073352015e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,0.1,0.0,7.494148948570422e-14,1.0589650967977236e-13,0.0,2.1701205814602903e-12,3.0662533110595042e-12,0.0,1.947773384894719e-12,2.7539648072028594e-12,0.0,3.331821210823418e-13,4.711680331859239e-13,0.0,9.809682054185304e-13,1.3870185252578566e-12,2.1763714135031994e-25,1.896910579452115e-24,5.550516290446414e-26,2.1700528837068994e-24,2.267430362486661e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7,0.1,0.0,2.576067053772247e-13,3.629329202153727e-13,0.0,2.3325677281584986e-12,3.2969870226140565e-12,0.0,1.3801632216673326e-12,1.9462548993239225e-12,0.0,1.1921426478519605e-12,1.6812752134160126e-12,0.0,3.122516326537631e-12,4.400040664059773e-12,6.4061221089206135e-25,9.524252592215753e-25,7.106020464137417e-25,2.3036395165273783e-24,3.5503097733935915e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9999999999999999,0.1,0.0,4.609234923072793e-13,6.509445482088333e-13,0.0,3.808027539531407e-12,5.371106374448501e-12,0.0,3.340511476507529e-13,4.718186735886602e-13,0.0,2.5563207802076797e-12,3.6108470918861107e-12,0.0,5.326293485480831e-12,7.531815808806805e-12,1.9386616328997862e-24,5.579508462339254e-26,3.2673879656608e-24,5.261844683183979e-24,1.0994104272062574e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.3,0.1,0.0,6.777947087491682e-13,9.552522344145118e-13,0.0,1.5397959884412765e-12,2.1714456748927936e-12,0.0,1.1212970507819401e-12,1.581815856979788e-12,0.0,2.950069631427998e-12,4.168387823468031e-12,0.0,5.834606227824979e-12,8.236391752606346e-12,3.0773280555474736e-24,6.286535380461382e-25,4.351455415136862e-24,8.057437008730474e-24,1.5691569315988126e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.6000000000000003,0.1,0.0,4.2982296058972005e-13,6.071669760072065e-13,0.0,4.511675313189437e-12,6.368951374083335e-12,0.0,1.3286841438238197e-12,1.8787675803802467e-12,0.0,1.4730453481866971e-12,2.0774757180995447e-12,0.0,3.381637096595355e-12,4.7667557452297485e-12,1.983753404642767e-24,8.827007770244186e-25,1.0849312989072343e-24,3.95138548057442e-24,5.854773724271322e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.9000000000000006,0.1,0.0,2.1631196742643162e-13,3.0558720123603186e-13,0.0,5.424359547131945e-12,7.66098780125578e-12,0.0,1.0166829503234734e-12,1.432729429901609e-12,0.0,1.122208284627636e-12,1.582461108648723e-12,0.0,1.5138366748118255e-12,2.1354772675096022e-12,1.4358205023896729e-24,5.168221107392213e-25,6.296757170434507e-25,2.582318330172345e-24,3.687012570599451e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.2000000000000006,0.1,0.0,5.91705238458794e-13,8.355894832994073e-13,0.0,4.484844132097447e-13,6.340634916631471e-13,0.0,3.4171988096736627e-13,4.831763926647704e-13,0.0,2.5659836170197326e-12,3.627436638468358e-12,0.0,3.5612728349357093e-12,5.036393712158181e-12,2.283484167192339e-24,5.838623852417547e-26,3.2921359614068353e-24,5.63400636712335e-24,1.1409683492398499e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2.600000000000001,0.1,0.0,1.0815839147989844e-13,1.5293462047942092e-13,0.0,5.425190790847391e-12,7.642905345486215e-12,0.0,8.726522399464787e-13,1.2340739415254878e-12,0.0,9.211101127001914e-13,1.2974914830299024e-12,0.0,1.0795958230331117e-12,1.5210483614065595e-12,1.2080652799817706e-24,3.807609659418033e-25,4.242219198592795e-25,2.0130481657828535e-24,2.7572971479921156e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2.9000000000000012,0.1,0.0,4.4469328872313055e-13,6.281713428284341e-13,0.0,3.1676722145829846e-12,4.461634641083696e-12,0.0,1.5332063194718306e-12,2.1680363538397268e-12,0.0,1.3731927972919825e-12,1.936634042721894e-12,0.0,3.1028541048907145e-12,4.387745842720141e-12,1.671317527462407e-24,1.1753608090341784e-24,9.428292292672897e-25,3.789507565763875e-24,5.44359393289947e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,3.2000000000000015,0.1,0.0,5.465570296217076e-13,7.722757011321127e-13,0.0,2.0256589867570124e-12,2.864267932964425e-12,0.0,1.3401297710690678e-12,1.8944977443130254e-12,0.0,2.537948046509682e-12,3.5749803228164875e-12,0.0,5.157942138784709e-12,7.290209394994777e-12,2.0995288258043943e-24,8.979739016528158e-25,3.2205901433911544e-24,6.218092870848365e-24,1.1868251017148635e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3.5000000000000018,0.1,0.0,3.771961945587869e-13,5.315324960372233e-13,0.0,2.9170898341130096e-12,4.123505813648444e-12,0.0,1.4691826352473587e-13,2.0702917283510118e-13,0.0,2.3475463745733137e-12,3.3199093740761998e-12,0.0,5.018648484672174e-12,7.088077448176112e-12,1.252085418974345e-24,1.0792488078561867e-26,2.7554869903861545e-24,4.0183648974390616e-24,8.852552599870911e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,3.800000000000002,0.1,0.0,3.126577617217991e-13,4.416074872810877e-13,0.0,8.958091803437201e-13,1.265475688568997e-12,0.0,1.4649855459968324e-12,2.0698716963450396e-12,0.0,1.561092654204419e-12,2.200989188565705e-12,0.0,3.727498021837926e-12,5.249680855810074e-12,6.66271081755912e-25,1.0730913249898189e-24,1.2185051375054985e-24,2.9578675442512293e-24,5.0955958556643846e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4.100000000000001,0.1,0.0,1.6311727477477916e-13,2.306305493895038e-13,0.0,2.1235494791095103e-12,3.001628377602995e-12,0.0,1.9462678717999273e-12,2.7524053655654883e-12,0.0,4.964791588285273e-13,6.99761209717621e-13,0.0,1.872395416308462e-12,2.6386512135066705e-12,3.4638795580722917e-25,1.8939793144003092e-24,1.2324577757554101e-25,2.3636130477830795e-24,2.579833710196309e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4.4,0.1,0.0,1.1195126548651035e-13,1.5817450661985187e-13,0.0,1.6159613744591944e-12,2.2853015425904825e-12,0.0,9.44147779486669e-13,1.3331055559844906e-12,0.0,7.679372521697285e-13,1.0841805450771592e-12,0.0,6.285048244556917e-13,8.869457073021759e-13,1.8190087197635804e-25,4.457075147548037e-25,2.9486381163499654e-25,9.224721983661583e-25,1.4397771310591345e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4.799999999999999,0.1,0.0,2.5275365592132783e-13,3.5740234146212865e-13,0.0,2.5270411173119652e-12,3.566091025738451e-12,0.0,1.0977864551416427e-12,1.5524535321289052e-12,0.0,1.6663548545869199e-12,2.3542083150352324e-12,0.0,2.0092917080577602e-12,2.828467809794277e-12,6.608616229567384e-25,6.025675505462269e-25,1.3883692507026976e-24,2.6517984242056627e-24,5.0875339517542544e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,5.099999999999998,0.1,0.0,3.371056374254892e-13,4.767381166608082e-13,0.0,2.1297103215024207e-12,3.009391080816237e-12,0.0,1.5781167028104227e-12,2.229347735387659e-12,0.0,1.06761215244936e-12,1.5087494686731287e-12,0.0,1.561323556360183e-12,2.203175199312763e-12,9.13110064462216e-25,1.2452261638446202e-24,5.698978540287775e-25,2.7282340823356137e-24,3.728054878877329e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,5.399999999999997,0.1,0.0,2.5489024345932243e-13,3.6024805347289543e-13,0.0,5.065370126946537e-12,7.155521438770888e-12,0.0,1.1206388312408456e-12,1.5838899159327953e-12,0.0,1.272771767440609e-12,1.7965105859778204e-12,0.0,3.228054604035583e-12,4.5639607004828355e-12,1.4091439093299834e-24,6.279156950424243e-25,8.099739859969461e-25,2.8470335903693538e-24,4.268040583346452e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,5.699999999999996,0.1,0.0,6.738899490289772e-13,9.490937247437112e-13,0.0,3.290233586201269e-12,4.652496831348759e-12,0.0,3.8994993036765757e-13,5.502708403098507e-13,0.0,3.0727474454724067e-12,4.3398531201507e-12,0.0,6.044592737879768e-12,8.538864690232e-12,3.368200467951992e-24,7.603047409687048e-26,4.720888431828601e-24,8.165119373877464e-24,1.6447379780594306e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,5.999999999999995,0.1,0.0,7.063194959930708e-13,9.988517948135587e-13,0.0,2.551675586523112e-12,3.5914526040855685e-12,0.0,5.70670114508882e-13,8.039335548801181e-13,0.0,3.052706996323321e-12,4.300579157247589e-12,0.0,5.979053391275667e-12,8.453772462202868e-12,3.49319193230085e-24,1.6283218979679032e-25,4.659510002700677e-24,8.315534124798318e-24,1.6490113076904766e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,6.299999999999994,0.1,0.0,2.1804806353262774e-13,3.081042182066256e-13,0.0,5.708496911161188e-12,8.067811222540117e-12,0.0,1.1749974416579797e-12,1.660184553407472e-12,0.0,1.0974825438155108e-12,1.5452554833355597e-12,0.0,2.9267801040164686e-12,4.1380255106711216e-12,1.5623859572493238e-24,6.903094939513987e-25,6.022339669898826e-25,2.8549294181906048e-24,3.9114802374711004e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6.5999999999999925,0.1,0.0,4.1024745072277575e-13,5.801212474198931e-13,0.0,2.8265144827965804e-12,3.980493881982602e-12,0.0,1.3346827103630803e-12,1.8851487224706784e-12,0.0,1.4925455391368478e-12,2.1079804713434808e-12,0.0,2.17356685306603e-12,3.06745702667984e-12,1.4012456227232873e-24,8.906889686710693e-25,1.1138460931986521e-24,3.405780684593009e-24,5.3598966375731e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,6.999999999999991,0.1,0.0,2.9404375859652336e-13,4.1431150965892797e-13,0.0,3.451450462196816e-12,4.8699040672420455e-12,0.0,4.0271743721645846e-13,5.668561060423865e-13,0.0,1.864446100412982e-12,2.630080871145477e-12,0.0,2.425748006761274e-12,3.430313008055461e-12,1.0201747306098473e-24,8.109066711909607e-26,1.738079630672588e-24,2.839345028401531e-24,5.888607538353439e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,7.29999999999999,0.1,0.0,1.299977020188626e-13,1.8304854092932828e-13,0.0,2.9881830858176807e-12,4.21958780450008e-12,0.0,1.0141940983714382e-12,1.4340799366057104e-12,0.0,5.862948946018858e-13,8.258754657932663e-13,0.0,2.9274654229551706e-13,4.1296306746767153e-13,4.532783531526207e-25,5.142948345857272e-25,1.718708517181182e-25,1.1394440394564662e-24,1.4409718494882526e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,7.599999999999989,0.1,0.0,2.8719537075778114e-13,4.0559583076504186e-13,0.0,1.4340064141734234e-12,2.0279654192150046e-12,0.0,1.873442757706842e-12,2.646544066190006e-12,0.0,8.803001326290775e-13,1.2423782062431872e-12,0.0,2.3546709845489656e-12,3.3203034020880646e-12,6.15218999319412e-25,1.7548938832021088e-24,3.874641617533856e-25,2.7575770442749063e-24,3.4373387315615476e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,7.899999999999988,0.1,0.0,2.9601012181696295e-13,4.183001393876181e-13,0.0,1.946953796674667e-12,2.7430058679225272e-12,0.0,1.3670062194100785e-12,1.9330602066254315e-12,0.0,1.8029745331364544e-12,2.5480592492047276e-12,0.0,4.0957313536681925e-12,5.786999702378308e-12,7.153363758170637e-25,9.343530019529177e-25,1.625358583569308e-24,3.2750479613392892e-24,6.126554248302987e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,8.199999999999987,0.1,0.0,3.8773870750229574e-13,5.465281145677361e-13,0.0,8.533633478082456e-13,1.206837827711406e-12,0.0,2.3280023089650394e-13,3.289189312733611e-13,0.0,2.305608455917825e-12,3.2523252178273123e-12,0.0,4.964779972908702e-12,6.992561540743088e-12,1.005227292243484e-24,2.709797375273278e-26,2.6579151759998876e-24,3.690240441996104e-24,8.353249522697661e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,8.499999999999986,0.1,0.0,4.225512073068217e-13,5.970377296348176e-13,0.0,1.9718343379878958e-12,2.7771653088655644e-12,0.0,1.5549488871468061e-12,2.1942262020295517e-12,0.0,2.080360371995697e-12,2.9405724108852793e-12,0.0,4.515818729986402e-12,6.380075321795863e-12,1.310115384964179e-24,1.2089330208195453e-24,2.1639496386850378e-24,4.682998044468762e-24,8.479400919354793e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,8.799999999999985,0.1,0.0,3.4253306124268204e-13,4.840362536220604e-13,0.0,2.2623539266097163e-12,3.1959847927831026e-12,0.0,1.6483858603789638e-12,2.3246809025821067e-12,0.0,8.992201010316074e-13,1.270982122934805e-12,0.0,2.455841933216015e-12,3.472659528223747e-12,9.59493425335778e-25,1.358587972348648e-24,4.0429839504964706e-25,2.722379792734073e-24,3.4316752226457344e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,9.199999999999983,0.1,0.0,2.0269073356281957e-13,2.8664787999947264e-13,0.0,4.165061296061999e-12,5.867170532689675e-12,0.0,4.589629677970663e-13,6.484461406334191e-13,0.0,1.5373329038235207e-12,2.173965793953308e-12,0.0,1.854898151529152e-12,2.6228401033698803e-12,9.342635675677382e-25,1.0532350290454547e-25,1.1816962285892293e-24,2.221283299061513e-24,4.294434577288231e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,9.499999999999982,0.1,0.0,5.065317967594589e-13,7.12975228871101e-13,0.0,1.013038870523069e-12,1.4313498224463285e-12,0.0,7.20867726575695e-13,1.0194591071945456e-12,0.0,2.2834127549126053e-12,3.2202601798680657e-12,0.0,3.076304742249058e-12,4.3498327457064005e-12,1.707205064764787e-24,2.598251396092055e-25,2.606986904648787e-24,4.574017109022779e-24,9.147678345248721e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,9.799999999999981,0.1,0.0,2.716430108139115e-13,3.8265297516385223e-13,0.0,4.6406300626072316e-12,6.547733855084002e-12,0.0,1.1684333193560247e-12,1.6506337536547077e-12,0.0,9.794480469311968e-13,1.3849046827965854e-12,0.0,1.444121859781699e-12,2.0410401018727765e-12,1.3079209522206893e-24,6.826182108906689e-25,4.796592383186678e-25,2.470198401430026e-24,3.3117058370768116e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,10.09999999999998,0.1,0.0,3.998199419382419e-13,5.642599240648049e-13,0.0,5.028962979830181e-12,7.110138794321198e-12,0.0,1.1937269908031324e-12,1.6878966037487399e-12,0.0,1.6244985043775546e-12,2.295021820892288e-12,0.0,3.6613895833284916e-12,5.159994345061771e-12,2.0117742416033005e-24,7.124920642859511e-25,1.3194976953624556e-24,4.043764001251707e-24,6.3586722387296986e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,10.399999999999979,0.1,0.0,7.226178858126672e-13,1.02190366994505e-12,0.0,4.0448712874939745e-13,5.718931363376463e-13,0.0,7.004978358166208e-13,9.895939341990734e-13,0.0,3.1308436694804456e-12,4.4142561971742715e-12,0.0,6.0901821247372226e-12,8.612569290950193e-12,3.400440643877319e-24,2.4534860899188466e-25,4.90109104136289e-24,8.546880294232093e-24,1.7145285629956458e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,10.699999999999978,0.1,0.0,4.927512573637578e-13,6.965191469671868e-13,0.0,4.170002559248651e-12,5.894681850116217e-12,0.0,3.1160715428563426e-13,4.390079946941839e-13,0.0,2.5815883192551187e-12,3.6488400188505536e-12,0.0,5.313423629528306e-12,7.496367895402474e-12,2.2470293777004873e-24,4.854950930099553e-26,3.332299125057235e-24,5.627878012058718e-24,1.1474016827948603e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
