step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,a_mean,a_rms,a_max_abs,alfvenic_energy,a_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
1000,2.0000000000000013,0.002,0.0,2.2972706681616734e-13,3.247200651291254e-13,0.0,1.7070651211529532e-13,2.3928935061670087e-13,0.0,1.037047283792288e-12,1.4663993439966104e-12,1.348503843977564e-25,8.962225573508014e-26,2.2447264013283653e-25,2.2447264013283653e-25,0.0,0.0,5.86972903866573e-26,5.86972903866573e-26,0.0,0.0,0.0,0.0,0.0,0.0
1101,2.201999999999979,0.002,0.0,2.346640252953832e-13,3.31837805466107e-13,0.0,1.5676104980960354e-13,2.21618266624483e-13,0.0,1.067130465860441e-12,1.5091057860185016e-12,1.4012541459332147e-25,9.48972859306268e-26,2.3502270052394827e-25,2.3502270052394827e-25,0.0,0.0,5.222801979113665e-26,5.222801979113665e-26,0.0,0.0,0.0,0.0,0.0,0.0
1201,2.401999999999957,0.002,0.0,2.387781488923827e-13,3.3767741856560845e-13,0.0,1.4628963304560566e-13,2.0590559955765973e-13,0.0,1.0924254554822353e-12,1.5441434646155087e-12,1.4467757664484404e-25,9.944944798213073e-26,2.4412702462697475e-25,2.4412702462697475e-25,0.0,0.0,4.5521619738790377e-26,4.5521619738790377e-26,0.0,0.0,0.0,0.0,0.0,0.0
1301,2.601999999999935,0.002,0.0,2.421621938800793e-13,3.423623131348552e-13,0.0,1.395221036661832e-13,1.9489880836038717e-13,0.0,1.1135070728492653e-12,1.5722528320309889e-12,1.4855296210317644e-25,1.033248334404449e-25,2.5187779554362133e-25,2.5187779554362133e-25,0.0,0.0,3.8753854842734973e-26,3.8753854842734973e-26,0.0,0.0,0.0,0.0,0.0,0.0
1401,2.801999999999913,0.002,0.0,2.448540168714288e-13,3.4592999332317583e-13,0.0,1.3678175270187341e-13,1.9343215575775094e-13,0.0,1.1306273660388072e-12,1.593658913160911e-12,1.5175464873240447e-25,1.0652652006965426e-25,2.5828116880205875e-25,2.5828116880205875e-25,0.0,0.0,3.2016867515111366e-26,3.2016867515111366e-26,0.0,0.0,0.0,0.0,0.0,0.0
1501,3.001999999999891,0.002,0.0,2.468901310933735e-13,3.484090196047849e-13,0.0,1.3822030969747328e-13,1.9351399231448692e-13,0.0,1.1440412517917816e-12,1.6085330708505635e-12,1.5429732747954443e-25,1.0906919881677553e-25,2.6336652629632e-25,2.6336652629632e-25,0.0,0.0,2.5426789638298212e-26,2.5426789638298212e-26,0.0,0.0,0.0,0.0,0.0,0.0
1601,3.201999999999869,0.002,0.0,2.4830664604517327e-13,3.4981923741494033e-13,0.0,1.437564921120102e-13,2.0210775732380428e-13,0.0,1.1540135549385305e-12,1.6169943777114975e-12,1.5620706907794248e-25,1.1097894041515542e-25,2.671860094930979e-25,2.671860094930979e-25,0.0,0.0,1.9097419127562287e-26,1.9097419127562287e-26,0.0,0.0,0.0,0.0,0.0,0.0
1701,3.401999999999847,0.002,0.0,2.491404905494377e-13,3.5017193601929704e-13,0.0,1.531096360811805e-13,2.164858150076906e-13,0.0,1.1608286048232389e-12,1.6191105693376404e-12,1.5752171614412726e-25,1.1229358748132226e-25,2.698153036254495e-25,2.698153036254495e-25,0.0,0.0,1.314647486744766e-26,1.314647486744766e-26,0.0,0.0,0.0,0.0,0.0,0.0
1801,3.601999999999825,0.002,0.0,2.494309731837563e-13,3.4946993888825685e-13,0.0,1.6590309920858856e-13,2.3259691411050543e-13,0.0,1.164802718721249e-12,1.6163487545078247e-12,1.5829190979119089e-25,1.1306378112836775e-25,2.7135569091955867e-25,2.7135569091955867e-25,0.0,0.0,7.701941878921661e-27,7.701941878921661e-27,0.0,0.0,0.0,0.0,0.0,0.0
1901,3.801999999999803,0.002,0.0,2.492217575104468e-13,3.477076262997937e-13,0.0,1.8177104155691258e-13,2.534669619572029e-13,0.0,1.1663000653357612e-12,1.6287529852708997e-12,1.585827821963583e-25,1.1335465353351668e-25,2.7193743572987497e-25,2.7193743572987497e-25,0.0,0.0,2.908730863215553e-27,2.908730863215553e-27,0.0,0.0,0.0,0.0,0.0,0.0
2001,4.001999999999781,0.002,0.0,2.48563352743081e-13,3.44870890351698e-13,0.0,2.0042502724116682e-13,2.822990550965569e-13,0.0,1.1657525019083893e-12,1.6369430666130234e-12,1.5847636997166545e-25,1.1324824130880572e-25,2.7172461128047114e-25,2.7172461128047114e-25,0.0,0.0,-1.064113765009837e-27,-1.064113765009837e-27,0.0,0.0,0.0,0.0,0.0,0.0
2101,4.201999999999759,0.002,0.0,2.4751624212684156e-13,3.453364479525604e-13,0.0,2.2167776322013342e-13,3.133910466730338e-13,0.0,1.1636839761682707e-12,1.6409845628770378e-12,1.580748283621112e-25,1.1284669969923302e-25,2.709215280613442e-25,2.709215280613442e-25,0.0,0.0,-4.015405600626799e-27,-4.015405600626799e-27,0.0,0.0,0.0,0.0,0.0,0.0
2201,4.401999999999737,0.002,0.0,2.461547869434207e-13,3.453239920719664e-13,0.0,2.4544054721140096e-13,3.469918384874136e-13,0.0,1.160739895393702e-12,1.6409098275934726e-12,1.5750455405944525e-25,1.1227642539654851e-25,2.6978097945599374e-25,2.6978097945599374e-25,0.0,0.0,-5.702730089054786e-27,-5.702730089054786e-27,0.0,0.0,0.0,0.0,0.0,0.0
2301,4.601999999999715,0.002,0.0,2.4457204431405974e-13,3.446253978866192e-13,0.0,2.717102046187354e-13,3.833704161262155e-13,0.0,1.1577213499787035e-12,1.6367182624813865e-12,1.5692135567929156e-25,1.1169322701637597e-25,2.6861458269566753e-25,2.6861458269566753e-25,0.0,0.0,-5.831967889960087e-27,-5.831967889960087e-27,0.0,0.0,0.0,0.0,0.0,0.0
2401,4.801999999999693,0.002,0.0,2.4288560474767504e-13,3.4323507291620945e-13,0.0,3.005545581134621e-13,4.228180022813597e-13,0.0,1.1556230426646266e-12,1.6283763126589324e-12,1.5651684672438743e-25,1.112887180614541e-25,2.678055647858415e-25,2.678055647858415e-25,0.0,0.0,-4.0450700126234636e-27,-4.0450700126234636e-27,0.0,0.0,0.0,0.0,0.0,0.0
2501,5.001999999999671,0.002,0.0,2.412444625759473e-13,3.4114188714393447e-13,0.0,3.321001430841022e-13,4.656503880853076e-13,0.0,1.1556720052831121e-12,1.6158171980252847e-12,1.5652627731254217e-25,1.1129814864959078e-25,2.6782442596213297e-25,2.6782442596213297e-25,0.0,0.0,9.432983523381018e-29,9.432983523381018e-29,0.0,0.0,0.0,0.0,0.0,0.0
2601,5.201999999999649,0.002,0.0,2.3983673842599527e-13,3.3832908391698494e-13,0.0,3.6652307820070606e-13,5.122104611247891e-13,0.0,1.1593615869233395e-12,1.6160681614489513e-12,1.5723806943242033e-25,1.1200994076945035e-25,2.6924801020187065e-25,2.6924801020187065e-25,0.0,0.0,7.117950530505718e-27,7.117950530505718e-27,0.0,0.0,0.0,0.0,0.0,0.0
2701,5.401999999999627,0.002,0.0,2.388977301191524e-13,3.347741458039307e-13,0.0,4.0404286823960725e-13,5.62870950370718e-13,0.0,1.1684720736829727e-12,1.64569916847194e-12,1.5900537757773722e-25,1.1377724891474883e-25,2.72782626492486e-25,2.72782626492486e-25,0.0,0.0,1.767311732439719e-26,1.767311732439719e-26,0.0,0.0,0.0,0.0,0.0,0.0
2801,5.601999999999605,0.002,0.0,2.3871724546436655e-13,3.3174021279687073e-13,0.0,4.449185986978137e-13,6.180374099983741e-13,0.0,1.1850667600888273e-12,1.67591511205528e-12,1.6226006415195912e-25,1.170319354889525e-25,2.7929199964091165e-25,2.7929199964091165e-25,0.0,0.0,3.2546909554143845e-26,3.2546909554143845e-26,0.0,0.0,0.0,0.0,0.0,0.0
2901,5.801999999999583,0.002,0.0,2.396445066530111e-13,3.369140076113762e-13,0.0,4.894469868774062e-13,6.795941093664386e-13,0.0,1.2114525028529602e-12,1.7069578809423143e-12,1.6752955921874985e-25,1.223014305557251e-25,2.8983098977447497e-25,2.8983098977447497e-25,0.0,0.0,5.269500410840629e-26,5.269500410840629e-26,0.0,0.0,0.0,0.0,0.0,0.0
3001,6.0,4.3876013933186186e-13,0.0,2.420548867418316e-13,3.4221246793355055e-13,0.0,5.374557870334775e-13,7.477448189116677e-13,0.0,1.2496439370998588e-12,1.7387486428753567e-12,1.7536229279057978e-25,1.3013416412753626e-25,3.0549645691811604e-25,3.0549645691811604e-25,0.0,0.0,7.911858596143576e-26,7.911858596143576e-26,0.0,0.0,0.0,0.0,0.0,0.0
