2026-06-08T12:47:30+12:00 run start {'title': 'Inhomogeneous rmhd simulation test', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokias_inhomogeneous.input', 'output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\outputs_nokia_rmhd_s_17', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd_s', 'equation_mode': 'nonlinear', 'grid': [16, 16, 16], 'output_cadences': {'scalar': 0.25, 'spectra': 0.0, 'full_field': 0.0}, 'hostname': 'Naoki', 'python_executable': 'C:\\Users\\naoki\\AppData\\Local\\Programs\\Python\\Python313\\python.exe', 'git_commit': 'cde2789c3d6596cb8e14f232da25acf4598750f1', 'command': "'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\rmhdgpu\\run.py' '.\\examples\\nokias_inhomogeneous.input'"}
2026-06-08T12:47:30+12:00 run setup {'resolved_output_dir': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\outputs_nokia_rmhd_s_17', 'input_file': 'C:\\Users\\naoki\\Downloads\\rmhd-gpu-new\\examples\\nokias_inhomogeneous.input', 'backend': 'numpy', 'equation_set': 'inhomogeneous_rmhd_s', 'equation_mode': 'nonlinear', 'grid': [16, 16, 16], 'output_cadences': {'scalar': 0.25, 'spectra': 0.0, 'full_field': 0.0}, 'dissipation_mode': 'auto', 'initial_condition': {'type': 'random_spectrum', 'parameters': {'n_min': 1.0, 'n_max': 3.0, 'alpha': 0.0, 'init_energy': 0.75, 'seed': 1}}}
2026-06-08T12:47:30+12:00 scalar diagnostics {'step': 0, 'time': 0.0, 'dt': 0.0, 'total_energy': 0.7500000000000001}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 81, 'time': 7.798344157171782, 'dt': 0.08319849394613947, 'total_energy': 5.400367195172601}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 84, 'time': 8.070329305526242, 'dt': 0.09153415767237634, 'total_energy': 5.6550299823179815}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 86, 'time': 8.251773022634818, 'dt': 0.09108656207669862, 'total_energy': 5.842629392792289}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 89, 'time': 8.523020972179657, 'dt': 0.08493977955368998, 'total_energy': 6.13675798114825}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 92, 'time': 8.755093313176108, 'dt': 0.07580467519183101, 'total_energy': 6.3890625275839525}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 96, 'time': 9.086227954695445, 'dt': 0.08756937631281562, 'total_energy': 6.722857732731295}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 98, 'time': 9.253512485481554, 'dt': 0.08281932870349472, 'total_energy': 6.867474863707923}
2026-06-08T12:47:31+12:00 progress {'step': 100, 'time': 9.418457765817042, 'dt': 0.08274875067612751}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 101, 'time': 9.502962903586923, 'dt': 0.08450513776988118, 'total_energy': 7.0866281781467775}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 104, 'time': 9.768181426611747, 'dt': 0.08948916541931554, 'total_energy': 7.385251930098385}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 108, 'time': 10.070035506143464, 'dt': 0.07338859816950026, 'total_energy': 7.742156657823654}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 111, 'time': 10.296032617876236, 'dt': 0.07459406896265086, 'total_energy': 7.9670628704717865}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 114, 'time': 10.524457412252527, 'dt': 0.07577554090266528, 'total_energy': 8.199993846845349}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 118, 'time': 10.821098069941668, 'dt': 0.07675454292913315, 'total_energy': 8.539267864369794}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 121, 'time': 11.058619607104818, 'dt': 0.08059639878752589, 'total_energy': 8.780433234481949}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 124, 'time': 11.295598065523636, 'dt': 0.07707432248313757, 'total_energy': 9.030096926815723}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 127, 'time': 11.51102604571716, 'dt': 0.06790153778571884, 'total_energy': 9.31140691946964}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 131, 'time': 11.771055399893909, 'dt': 0.06586748281540712, 'total_energy': 9.63787957488093}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 135, 'time': 12.06046719711059, 'dt': 0.07492824539897537, 'total_energy': 9.898050354425669}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 138, 'time': 12.28192693475049, 'dt': 0.0718992703720827, 'total_energy': 10.099138980164415}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 142, 'time': 12.569447407563736, 'dt': 0.07588325477843247, 'total_energy': 10.415079377780145}
2026-06-08T12:47:31+12:00 scalar diagnostics {'step': 145, 'time': 12.791277215414754, 'dt': 0.0725191650508789, 'total_energy': 10.692845732120503}
2026-06-08T12:47:32+12:00 scalar diagnostics {'step': 149, 'time': 13.042573653210862, 'dt': 0.05899197756200345, 'total_energy': 11.220756435761778}
2026-06-08T12:47:32+12:00 scalar diagnostics {'step': 153, 'time': 13.296545159481633, 'dt': 0.06474567080541775, 'total_energy': 11.857099912264072}
2026-06-08T12:47:32+12:00 scalar diagnostics {'step': 157, 'time': 13.554812348752815, 'dt': 0.06599052910415303, 'total_energy': 12.358684520781868}
2026-06-08T12:47:32+12:00 scalar diagnostics {'step': 160, 'time': 13.758026845887317, 'dt': 0.06505440465916348, 'total_energy': 12.678774405942058}
