step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
817,8.16999999999987,0.01,0.0,2.518398738733753e-13,3.5251214724723214e-13,0.0,1.528090836333016e-13,2.1458826306172837e-13,0.0,2.45735709352966e-10,3.47351924051358e-10,0.0,4.53571759369681e-10,6.405755285402278e-10,0.0,3.8153797493337725e-10,5.313700745333357e-10,6.92609760827699e-26,3.019301942560268e-20,1.0286367044885392e-19,1.330567591354327e-19,2.7522466068967743e-19,0.0,0.0,3.9506122408162575e-19,3.9506122408162575e-19,0.0,0.0,0.0,0.0,0.0,0.0
849,8.489999999999863,0.01,0.0,7.269949675969153e-14,1.0278273396847789e-13,0.0,5.058667282429003e-13,7.137461017482188e-13,0.0,2.459214845494687e-10,3.4763137456233837e-10,0.0,1.3722663529002842e-10,1.9311616012058883e-10,0.0,3.6984609428326604e-10,5.207635464358436e-10,6.926050351490647e-26,3.023868828150728e-20,9.41557471651124e-21,3.965433225852203e-20,8.600216300831163e-20,0.0,0.0,-5.908903937930709e-19,-5.908903937930709e-19,0.0,0.0,0.0,0.0,0.0,0.0
880,8.799999999999857,0.01,0.0,2.302296173914472e-13,3.254922161612389e-13,0.0,2.5498524658224e-13,3.543847751971501e-13,0.0,6.556365219829742e-11,9.26943857704949e-11,0.0,5.261130338878612e-10,7.364304529499804e-10,0.0,8.865072857088657e-10,1.2402464826965645e-09,6.926004571786357e-26,2.149296244789654e-21,1.3839746221334493e-19,1.405468277181803e-19,4.911359851875483e-19,0.0,0.0,1.3063768490009695e-18,1.3063768490009695e-18,0.0,0.0,0.0,0.0,0.0,0.0
912,9.11999999999985,0.01,0.0,1.804170813480239e-13,2.5507942646802257e-13,0.0,3.8319316233048105e-13,5.370948754657076e-13,0.0,1.6821409426993556e-10,2.377638492973569e-10,0.0,3.971616415832511e-10,5.582808778378408e-10,0.0,7.23747524659489e-10,1.021306793586014e-09,6.925957315634807e-26,1.4147990755527382e-20,7.88686847725514e-20,9.301674478765195e-20,3.133142590119024e-19,0.0,0.0,-5.554648249102297e-19,-5.554648249102297e-19,0.0,0.0,0.0,0.0,0.0,0.0
943,9.429999999999843,0.01,0.0,1.329032116498491e-13,1.8776298951701276e-13,0.0,4.542944054183807e-13,6.346997849404384e-13,0.0,2.732116425686805e-10,3.861985611469805e-10,0.0,1.9335012925191917e-10,2.731350012604593e-10,0.0,1.1110796449277644e-11,1.5463896378758533e-11,6.925911536545459e-26,3.732230081753822e-20,1.869213624086692e-20,5.601450631752051e-20,7.473997400377648e-20,0.0,0.0,-7.693754561418375e-19,-7.693754561418375e-19,0.0,0.0,0.0,0.0,0.0,0.0
974,9.739999999999837,0.01,0.0,2.5195615580725705e-13,3.527173032371991e-13,0.0,1.5200990926141912e-13,2.1322476543807069e-13,0.0,1.812814639032762e-10,2.562649568081094e-10,0.0,5.094726894969317e-10,7.204941483454119e-10,0.0,3.815863909040739e-10,5.315842100694598e-10,6.925865757758699e-26,1.643148457745742e-20,1.297812106716185e-19,1.4621276450773349e-19,3.1530818208461507e-19,0.0,0.0,7.75591665971163e-19,7.75591665971163e-19,0.0,0.0,0.0,0.0,0.0,0.0
1006,10.05999999999983,0.01,0.0,7.304223529241947e-14,1.0328702776024044e-13,0.0,5.056600315984231e-13,7.134945908234891e-13,0.0,4.894174242579907e-11,6.916002106960955e-11,0.0,2.2099280243366617e-10,3.0872498411548685e-10,0.0,3.686710123205961e-10,5.188888327751436e-10,6.92581850255427e-26,1.1976470758366307e-21,2.441890936374271e-20,2.5616625697764366e-20,8.673348019939019e-20,0.0,0.0,-7.138623751704685e-19,-7.138623751704685e-19,0.0,0.0,0.0,0.0,0.0,0.0
1037,10.369999999999823,0.01,0.0,2.29890446963968e-13,3.250043994092133e-13,0.0,2.5618828730862443e-13,3.5627260430073237e-13,0.0,2.380269398015049e-10,3.3645410200705023e-10,0.0,2.571682746457133e-10,3.619737181225474e-10,0.0,8.857354276079167e-10,1.2390267375595194e-09,6.925772724382456e-26,2.8328412035634615e-20,3.306776074212649e-20,6.139624203548836e-20,3.0628635966195514e-19,0.0,0.0,7.079232150106911e-19,7.079232150106911e-19,0.0,0.0,0.0,0.0,0.0,0.0
1069,10.689999999999817,0.01,0.0,1.8094799829753114e-13,2.5582005289428214e-13,0.0,3.8217836992820353e-13,5.355676786870541e-13,0.0,2.5270033898901306e-10,3.5721260732318356e-10,0.0,3.3016975561215553e-10,4.599145809417363e-10,0.0,7.252336502077475e-10,1.0234322913396822e-09,6.925725469812802e-26,3.1928730662581063e-20,5.450603376049523e-20,8.643483368033098e-20,2.8295110623711255e-19,0.0,0.0,-7.290871714797378e-20,-7.290871714797378e-20,0.0,0.0,0.0,0.0,0.0,0.0
1100,10.99999999999981,0.01,0.0,1.3229768568448066e-13,1.8693208201003374e-13,0.0,4.549906341237784e-13,6.355697086045173e-13,0.0,8.152567100657184e-11,1.1525768160461342e-10,0.0,1.4116834302095292e-11,1.9621812439917438e-11,0.0,9.299411904225175e-12,1.2967752239495368e-11,6.925679692255913e-26,3.3232175165358944e-21,9.964250535640713e-23,3.422929278689224e-21,3.545921130722032e-21,0.0,0.0,-9.010450261261145e-19,-9.010450261261145e-19,0.0,0.0,0.0,0.0,0.0,0.0
1131,11.309999999999803,0.01,0.0,2.5207005434156633e-13,3.52918874793621e-13,0.0,1.5122204672938201e-13,2.1185915074617276e-13,0.0,1.4841343964336579e-10,2.0977343148296945e-10,0.0,2.487346947442082e-10,3.509076626672664e-10,0.0,3.8162991789281794e-10,5.31789583447914e-10,6.925633915001603e-26,1.1013274533387487e-20,3.09344741847472e-20,4.1947817974473843e-20,1.1220546860155834e-19,0.0,0.0,3.502505875881297e-19,3.502505875881297e-19,0.0,0.0,0.0,0.0,0.0,0.0
1163,11.629999999999797,0.01,0.0,7.339144729439422e-14,1.0379025704385438e-13,0.0,5.05448561488999e-13,7.132358514347556e-13,0.0,2.7219262245782135e-10,3.8475695241619414e-10,0.0,1.1135184256591229e-10,1.5536377161694763e-10,0.0,3.6750232964094185e-10,5.17013145264093e-10,6.925586661379043e-26,3.704441186023302e-20,6.1996164214118584e-21,4.324409753751149e-20,8.590936377763361e-20,0.0,0.0,-8.196493145413591e-20,-8.196493145413591e-20,0.0,0.0,0.0,0.0,0.0,0.0
1194,11.93999999999979,0.01,0.0,2.2954918790266657e-13,3.2451330250924263e-13,0.0,2.573913687800944e-13,3.581567565824732e-13,0.0,1.933464015637229e-10,2.733186568007246e-10,0.0,2.198242709460067e-10,3.059721038576865e-10,0.0,8.84958323843564e-10,1.237798790685884e-09,6.925540884739636e-26,1.8691415498820197e-20,2.4161355048471675e-20,4.2852839802700723e-20,2.7846502828497517e-19,0.0,0.0,6.209069692814195e-19,6.209069692814195e-19,0.0,0.0,0.0,0.0,0.0,0.0
1226,12.259999999999783,0.01,0.0,1.814775374115417e-13,2.565580597784415e-13,0.0,3.811605422000587e-13,5.340351008375165e-13,0.0,3.255343515413713e-11,4.599262923481877e-11,0.0,1.8158568091476682e-10,2.566745668525335e-10,0.0,7.267154735288113e-10,1.025551662121613e-09,6.92549363175182e-26,5.298630701673054e-22,1.6486679756639756e-20,1.7016612081743378e-20,1.7609444429425829e-19,0.0,0.0,-3.1975512120924854e-19,-3.1975512120924854e-19,0.0,0.0,0.0,0.0,0.0,0.0
1257,12.569999999999776,0.01,0.0,1.3169205413694506e-13,1.8609930628969214e-13,0.0,4.556827029171291e-13,6.364331566466614e-13,0.0,2.2944310440532578e-10,3.243193575621776e-10,0.0,3.0258554502962753e-10,4.276558718208088e-10,0.0,7.486822153421817e-12,1.0467235407789208e-11,6.92544785572732e-26,2.6322069079576605e-20,4.5779006030438367e-20,7.210114436449354e-20,1.1789528457154028e-19,0.0,0.0,-1.8770748777469634e-19,-1.8770748777469634e-19,0.0,0.0,0.0,0.0,0.0,0.0
1289,12.88999999999977,0.01,0.0,2.5055551556492124e-13,3.5029669148024335e-13,0.0,1.6094644641915992e-13,2.2746558952878194e-13,0.0,2.58550006875513e-10,3.654803540826495e-10,0.0,3.2250064216124244e-10,4.5118829038951093e-10,0.0,3.807112858258226e-10,5.28700163096585e-10,6.925400603374232e-26,3.342405302766392e-20,5.200333209720686e-20,8.542745437887681e-20,1.765648789279745e-19,0.0,0.0,1.831924287335791e-19,1.831924287335791e-19,0.0,0.0,0.0,0.0,0.0,0.0
1320,13.199999999999763,0.01,0.0,7.374702588214642e-14,1.042924167507642e-13,0.0,5.052323206335257e-13,7.129698864483471e-13,0.0,9.71878596401451e-11,1.3739694161757444e-10,0.0,2.083330209879661e-10,2.919288125808817e-10,0.0,3.6634010504055646e-10,5.151365029601471e-10,6.925354827964639e-26,4.72274003071627e-21,2.1701323816986156e-20,2.6424133101250705e-20,8.436082650974085e-20,0.0,0.0,-2.97103358870698e-19,-2.97103358870698e-19,0.0,0.0,0.0,0.0,0.0,0.0
1351,13.509999999999756,0.01,0.0,2.29205844758409e-13,3.2401893055226094e-13,0.0,2.5859444121759625e-13,3.6003721305474133e-13,0.0,1.3422772423356516e-10,1.897204389399201e-10,0.0,5.058570466935183e-10,7.086213702404188e-10,0.0,8.841759854172912e-10,1.2365626548051116e-09,6.925309052857609e-26,9.008540976461008e-21,1.2794567584474419e-19,1.3695428607429572e-19,4.75977098679972e-19,0.0,0.0,1.2628078489317248e-18,1.2628078489317248e-18,0.0,0.0,0.0,0.0,0.0,0.0
1383,13.82999999999975,0.01,0.0,1.8200568918526984e-13,2.5729343972268153e-13,0.0,3.801396959998299e-13,5.324971576419629e-13,0.0,2.7017283876012626e-10,3.8190071391730865e-10,0.0,2.953882941964951e-10,4.1586176076089024e-10,0.0,7.281929806649672e-10,1.0276648846404026e-09,6.925261801451584e-26,3.6496681401852587e-20,4.3627122174157564e-20,8.012387282862817e-20,2.6692254961701257e-19,0.0,0.0,-6.530100933177951e-19,-6.530100933177951e-19,0.0,0.0,0.0,0.0,0.0,0.0
1414,14.139999999999743,0.01,0.0,1.310863399254988e-13,1.8526467086526216e-13,0.0,4.563706027102578e-13,6.37290120525802e-13,0.0,2.047003231499408e-10,2.8936723837979494e-10,0.0,3.2471679854753646e-10,4.58945347031504e-10,0.0,5.674521427694849e-12,7.962371392433391e-12,6.925216026959442e-26,2.0951111148845098e-20,5.272049962948068e-20,7.367168003048606e-20,1.2640087371219373e-19,0.0,0.0,-4.531759043330793e-19,-4.531759043330793e-19,0.0,0.0,0.0,0.0,0.0,0.0
1446,14.459999999999736,0.01,0.0,2.5069448032562085e-13,3.5053595929321416e-13,0.0,1.6004955852670362e-13,2.2612331151237724e-13,0.0,1.604775908667939e-11,2.265640676680416e-11,0.0,5.523578252512778e-10,7.809660717104869e-10,0.0,3.8080564202743495e-10,5.289978926095874e-10,6.925168776188127e-26,1.2876528585205048e-22,1.5254958355816053e-19,1.5267841809570034e-19,3.4438149464384116e-19,0.0,0.0,6.808157982583523e-19,6.808157982583523e-19,0.0,0.0,0.0,0.0,0.0,0.0
1477,14.76999999999973,0.01,0.0,7.410886424140778e-14,1.0479350182343353e-13,0.0,5.050113118097743e-13,7.12696698803792e-13,0.0,2.2001577433146294e-10,3.109923213812571e-10,0.0,1.6316817386979284e-10,2.3074646032816894e-10,0.0,3.6518439731261037e-10,5.132589249298079e-10,6.925123002310867e-26,2.4203470477336605e-20,1.3311926482001467e-20,3.7515466210568094e-20,8.683449658352466e-20,0.0,0.0,-8.30300324257002e-19,-8.30300324257002e-19,0.0,0.0,0.0,0.0,0.0,0.0
1508,15.079999999999723,0.01,0.0,2.288604221154627e-13,3.235212886622522e-13,0.0,2.5979745554176453e-13,3.6191395476802816e-13,0.0,2.6540426524306843e-10,3.7516759606467833e-10,0.0,3.873671002035692e-10,5.465794545207726e-10,0.0,8.833884233987954e-10,1.235318342729303e-09,6.925077228736155e-26,3.521971200460651e-20,7.502663516006098e-20,1.1024641641543977e-19,3.9597433035615314e-19,0.0,0.0,9.968115873003272e-19,9.968115873003272e-19,0.0,0.0,0.0,0.0,0.0,0.0
1540,15.399999999999716,0.01,0.0,1.8253244418768629e-13,2.5802618535607567e-13,0.0,3.7911584829963416e-13,5.309538648791577e-13,0.0,1.1249259229361756e-10,1.590307707451388e-10,0.0,4.221776121900433e-10,5.950009427599679e-10,0.0,7.296661577034918e-10,1.0297719376677237e-09,6.92502997891186e-26,6.327291660469032e-21,8.911696811724328e-20,9.54443290280121e-20,3.283127266036551e-19,0.0,0.0,-2.1137422847914616e-19,-2.1137422847914616e-19,0.0,0.0,0.0,0.0,0.0,0.0
1571,15.70999999999971,0.01,0.0,1.3048056628145994e-13,1.8442818426459675e-13,0.0,4.570543244840363e-13,6.381405917669211e-13,0.0,1.1954867924110188e-10,1.6897013116219328e-10,0.0,2.1913870561901043e-11,3.0940987157690416e-11,0.0,3.8667793918089884e-12,5.453185745459768e-12,6.924984205952017e-26,7.145943354145929e-21,2.401088615018766e-22,7.386121465489866e-21,7.63026736236527e-21,0.0,0.0,-1.0341511909785936e-18,-1.0341511909785936e-18,0.0,0.0,0.0,0.0,0.0,0.0
