step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
377,3.7699999999999636,0.01,0.0,1.2902921357132128e-13,1.8241707741819093e-13,0.0,4.587413871993526e-13,6.402414113139609e-13,0.0,1.5110615751938612e-10,2.1357172566885307e-10,0.0,4.310747648389354e-11,6.095846010529382e-11,0.0,4.2564160405431614e-11,6.018871904171492e-11,6.92594530372302e-26,1.1416535420136768e-20,9.291272644047173e-22,1.2345731943994522e-20,1.3275085004278181e-20,0.0,0.0,-8.90732222840517e-19,-8.90732222840517e-19,0.0,0.0,0.0,0.0,0.0,0.0
409,4.089999999999957,0.01,0.0,2.261671755056466e-13,3.161203192695144e-13,0.0,2.6912233952647684e-13,3.8005813103640376e-13,0.0,2.0728433644380455e-10,2.9300034508811915e-10,0.0,3.1334337001167105e-10,4.3803364306039783e-10,0.0,2.0344314804269457e-10,2.875946087979566e-10,6.9258299684253e-26,2.1483398067474178e-20,4.909203376513547e-20,7.057550109090933e-20,1.411759443040084e-19,0.0,0.0,3.993348517163958e-19,3.993348517163958e-19,0.0,0.0,0.0,0.0,0.0,0.0
440,4.399999999999951,0.01,0.0,1.3062086303572972e-13,1.8462227714833777e-13,0.0,4.569261320243043e-13,6.379846785451083e-13,0.0,3.2923693174549915e-11,4.6553039819821503e-11,0.0,3.914197468876599e-12,5.5186269612003354e-12,0.0,3.071777868511788e-10,4.3423226532596863e-10,6.925718239187182e-26,5.419847861259523e-22,7.660470912679988e-24,5.497145142210242e-22,7.31388667867511e-20,0.0,0.0,-2.1919429466581157e-19,-2.1919429466581157e-19,0.0,0.0,0.0,0.0,0.0,0.0
472,4.719999999999944,0.01,0.0,2.2520959524231104e-13,3.149140524426098e-13,0.0,2.722988599866058e-13,3.8437624922796693e-13,0.0,1.8160153931626658e-10,2.566801858190338e-10,0.0,2.0545313988365635e-10,2.893519969160728e-10,0.0,2.404412576600241e-10,3.3991146923319e-10,6.925602907670684e-26,1.6489559541018754e-20,2.1105496344026628e-20,3.759512514107446e-20,1.8265395776990027e-19,0.0,0.0,3.419717397763245e-19,3.419717397763245e-19,0.0,0.0,0.0,0.0,0.0,0.0
503,5.029999999999937,0.01,0.0,1.3221203375450946e-13,1.8681435304248402e-13,0.0,4.550819264767697e-13,6.356829185846596e-13,0.0,1.912954652341117e-10,2.7040351153663113e-10,0.0,8.380170520161075e-11,1.1838348990323408e-10,0.0,7.944416553935938e-11,1.1233613863537881e-10,6.925491182095556e-26,1.8296977509567616e-20,3.511362897348838e-21,2.1808409661828277e-20,2.5338680108274845e-20,0.0,0.0,-5.072143346971515e-19,-5.072143346971515e-19,0.0,0.0,0.0,0.0,0.0,0.0
535,5.34999999999993,0.01,0.0,2.2423784374019574e-13,3.136855628809862e-13,0.0,2.754715809541822e-13,3.8866705306501745e-13,0.0,1.442940316943018e-11,2.0365973428183826e-11,0.0,1.672631388247169e-10,2.3652508097442674e-10,0.0,9.803570725645886e-13,1.384616218400106e-12,6.925375854360156e-26,1.0410383791298084e-22,1.3988478804748256e-20,1.409265189641978e-20,4.9288074909046874e-20,0.0,0.0,7.473572024590312e-20,7.473572024590312e-20,0.0,0.0,0.0,0.0,0.0,0.0
566,5.659999999999924,0.01,0.0,1.338022984962071e-13,1.889931505660331e-13,0.0,4.5320894184299173e-13,6.333362956275907e-13,0.0,2.0061947509280823e-10,2.8356516150227624e-10,0.0,2.2200093241618422e-10,3.1366152035656037e-10,0.0,9.289628384904319e-11,1.313352942065268e-10,6.925264132447913e-26,2.0124086893256952e-20,2.4642206996827593e-20,4.4766363142725867e-20,1.4377333942916261e-19,0.0,0.0,3.0480717145402705e-19,3.0480717145402705e-19,0.0,0.0,0.0,0.0,0.0,0.0
597,5.969999999999917,0.01,0.0,2.2888338214174666e-13,3.1951373997907257e-13,0.0,2.5972232482199265e-13,3.671422595239606e-13,0.0,1.6900106663524505e-10,2.3889350762095387e-10,0.0,2.007283302434867e-10,2.820128735530789e-10,0.0,2.5243213834629033e-10,3.5684047604307736e-10,6.925152412338e-26,1.4280680261925268e-20,2.0145931281169126e-20,3.4426680794618515e-20,1.815524790885043e-19,0.0,0.0,1.2179319194919932e-19,1.2179319194919932e-19,0.0,0.0,0.0,0.0,0.0,0.0
629,6.28999999999991,0.01,0.0,1.3539124508239256e-13,1.9115851612814477e-13,0.0,4.5130735273194765e-13,6.309449770350009e-13,0.0,5.3630959685690164e-11,7.57847159852668e-11,0.0,3.123161120307882e-10,4.4123662350024475e-10,0.0,3.041625929253243e-10,4.299754076969797e-10,6.925037090244015e-26,1.4381399184040616e-21,4.8770676917013913e-20,5.0208886085788875e-20,9.904842795103842e-20,0.0,0.0,-2.5768134161451717e-19,-2.5768134161451717e-19,0.0,0.0,0.0,0.0,0.0,0.0
660,6.599999999999904,0.01,0.0,2.2796816523655084e-13,3.183735622902565e-13,0.0,2.629050731853507e-13,3.715386607900467e-13,0.0,2.1302409695164756e-10,3.01102507359332e-10,0.0,3.0283804903845606e-10,4.221559129370679e-10,0.0,1.8906813373960576e-10,2.672984418470633e-10,6.9249253737968e-26,2.2689632941032455e-20,4.585544197270916e-20,6.854514416299535e-20,1.3619130030268394e-19,0.0,0.0,1.1969929958958096e-19,1.1969929958958096e-19,0.0,0.0,0.0,0.0,0.0,0.0
692,6.919999999999897,0.01,0.0,1.3697847560507095e-13,1.9331029709256257e-13,0.0,4.4937733710434077e-13,6.285091333221812e-13,0.0,1.3514582698321482e-10,1.9104227308048083e-10,0.0,2.8586180444545575e-10,4.037326369817588e-10,0.0,3.284222160027743e-11,4.644561684246931e-11,6.924810055483609e-26,9.132197275488513e-21,4.085848562040598e-20,4.999075214399505e-20,1.670070324984157e-19,0.0,0.0,9.643262481330392e-20,9.643262481330392e-20,0.0,0.0,0.0,0.0,0.0,0.0
