step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
38,3.800000000000002,0.1,0.0,1.3015303215336877e-11,1.8160277086477203e-11,0.0,3.5912178028183845e-11,5.0313286139778274e-11,0.0,1.9654468660501104e-11,2.732754303158767e-11,0.0,2.4641915957660857e-12,3.431906281822621e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.1506910167983747e-21,1.9314906916331003e-22,3.036120110322104e-24,1.3468762060720068e-21,1.6510123507995925e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4.100000000000001,0.1,0.0,1.3528982800496433e-11,1.8875405267650007e-11,0.0,2.3137396248429408e-11,3.2506686707421635e-11,0.0,2.4783657174524312e-11,3.449620621704528e-11,0.0,2.730804673148283e-12,3.802836955350987e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.210306907087789e-21,3.071148314721752e-22,3.7286470814442504e-24,1.5211503856414087e-21,1.8945392274812088e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4.4,0.1,0.0,1.0182134455259625e-11,1.416563370444123e-11,0.0,3.730428069863528e-11,5.2441684509491705e-11,0.0,2.850314385591933e-11,3.968423438700484e-11,0.0,3.033245497496563e-12,4.223641022183604e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,7.274165402855799e-22,4.0621460483561594e-22,4.600289124041584e-24,1.1382314342452375e-21,1.5987844803447712e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4.799999999999999,0.1,0.0,9.491825571074844e-12,1.3166952177427089e-11,0.0,3.4746231264606094e-11,4.85066389488167e-11,0.0,3.05332266665357e-11,4.2479637549430826e-11,0.0,3.4991933465738293e-12,4.871980014408159e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,6.320505303312512e-22,4.661389653350233e-22,6.122177038353279e-24,1.1043116727046277e-21,1.717053510235331e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,5.099999999999998,0.1,0.0,1.4837395192340882e-11,2.0648444157678982e-11,0.0,7.079684708553985e-11,9.911146565955001e-11,0.0,3.323015191411408e-11,4.621459085791014e-11,0.0,3.90164285206264e-12,5.431989480969966e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.6237405998880258e-21,5.521214981175497e-22,7.611408472525747e-24,2.183473506478101e-21,2.945138487426051e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,5.399999999999997,0.1,0.0,2.03732815034876e-11,2.8401699008594257e-11,0.0,3.9175312632086293e-11,5.4800233130054925e-11,0.0,3.9000472050201005e-11,5.4259265810680974e-11,0.0,4.355345704416353e-12,6.0633365507615425e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.756986014925417e-21,7.605184100692549e-22,9.484518102488983e-24,3.52698894309716e-21,4.475964887041434e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,5.699999999999996,0.1,0.0,2.127273592599571e-11,2.9647280404292036e-11,0.0,1.6614180324364328e-11,2.3428199871470894e-11,0.0,4.623112357597665e-11,6.435108771177049e-11,0.0,4.866279424978937e-12,6.7743392710595704e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.9520569860072535e-21,1.0686583935486123e-21,1.1840337720986665e-23,4.032555717276853e-21,5.2171136230708944e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,5.999999999999995,0.1,0.0,1.8925550516711494e-11,2.632654244408864e-11,0.0,2.2175055204294612e-11,3.128804562839582e-11,0.0,5.213293569611479e-11,7.257238431311575e-11,0.0,5.441175567413321e-12,7.574365158963144e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.347059815855949e-21,1.3589214921476195e-21,1.4803195777707833e-23,3.720784503781276e-21,5.201628215247435e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,6.299999999999994,0.1,0.0,1.9161306853732463e-11,2.662011482839534e-11,0.0,3.2927405956118506e-11,4.580334208209814e-11,0.0,5.638423952596666e-11,7.846661801718469e-11,0.0,6.0876084041399364e-12,8.473954619172766e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.4282124631133924e-21,1.5895912334607904e-21,1.8529488041077585e-23,4.03633318461526e-21,5.889806122418394e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6.5999999999999925,0.1,0.0,2.483344828310762e-11,3.454547693709557e-11,0.0,8.207134953147801e-11,1.1476562326469512e-10,0.0,6.162048467403279e-11,8.573052373691089e-11,0.0,6.814094716115252e-12,9.484959814660574e-12,0.0,1.0238493008008255e-12,1.4384048126146475e-12,4.267616629898114e-21,1.8985420657313546e-21,2.32159434000949e-23,6.189374639029564e-21,8.511493112734427e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
